ztfg_peak_mag,ztfg_peak_time,ztfg_rise_rate,ztfg_fade_rate,ztfg_fwhm,ztfg_rise_hwhm,ztfg_fade_hwhm,ztfr_peak_mag,ztfr_peak_time,ztfr_rise_rate,ztfr_fade_rate,ztfr_fwhm,ztfr_rise_hwhm,ztfr_fade_hwhm,ztfi_peak_mag,ztfi_peak_time,ztfi_rise_rate,ztfi_fade_rate,ztfi_fwhm,ztfi_rise_hwhm,ztfi_fade_hwhm,ztfg_peak_gr_color,ztfg_peak_gi_color,ztfr_peak_gr_color,ztfr_peak_ri_color,ztfi_peak_gi_color,ztfi_peak_ri_color,model,obj_id
-14.803,0.5,,1.182000000000001,,,,-15.659,0.5,,0.9880000000000008,,,,-15.706,0.5,,0.7279999999999992,,,,0.8559999999999999,0.9029999999999987,0.8559999999999999,0.04699999999999882,0.9029999999999987,0.04699999999999882,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta0.00_dMpc0
-14.73,0.5,,1.165333333333334,,,,-15.582,0.5,,0.968,,,,-15.633,0.5,,0.7213333333333326,,,,0.8520000000000003,0.9029999999999987,0.8520000000000003,0.05099999999999838,0.9029999999999987,0.05099999999999838,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta25.84_dMpc0
-14.655,0.5,,1.1493333333333335,,,,-15.505,0.5,,0.9466666666666667,,,,-15.565,0.5,,0.7186666666666662,,,,0.8500000000000014,0.9100000000000001,0.8500000000000014,0.05999999999999872,0.9100000000000001,0.05999999999999872,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta36.87_dMpc0
-14.578,0.5,,1.1300000000000001,,,,-15.429,0.5,,0.9273333333333333,,,,-15.491,0.5,,0.7113333333333335,,,,0.8510000000000009,0.9130000000000003,0.8510000000000009,0.06199999999999939,0.9130000000000003,0.06199999999999939,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta45.57_dMpc0
-14.501,0.5,,1.1079999999999994,,,,-15.355,0.5,,0.9073333333333338,,,,-15.417,0.5,,0.7039999999999994,,,,0.854000000000001,0.9160000000000004,0.854000000000001,0.06199999999999939,0.9160000000000004,0.06199999999999939,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta53.13_dMpc0
-14.429,0.5,,1.0813333333333333,,,,-15.284,0.5,,0.8853333333333341,,,,-15.346,0.5,,0.6986666666666667,,,,0.8550000000000004,0.9169999999999998,0.8550000000000004,0.06199999999999939,0.9169999999999998,0.06199999999999939,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta60.00_dMpc0
-14.366,0.5,,1.0533333333333335,,,,-15.221,0.5,,0.8659999999999997,,,,-15.281,0.5,,0.6946666666666665,,,,0.8550000000000004,0.9150000000000009,0.8550000000000004,0.0600000000000005,0.9150000000000009,0.0600000000000005,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta66.42_dMpc0
-14.314,0.5,,1.0239999999999998,,,,-15.17,0.5,,0.8486666666666665,,,,-15.224,0.5,,0.6966666666666667,,,,0.8559999999999999,0.9100000000000001,0.8559999999999999,0.05400000000000027,0.9100000000000001,0.05400000000000027,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta72.54_dMpc0
-14.263,0.5,,1.0,,,,-15.114,0.5,,0.8493333333333339,,,,-15.164,0.5,,0.729333333333333,,,,0.8510000000000009,0.9009999999999998,0.8510000000000009,0.049999999999998934,0.9009999999999998,0.049999999999998934,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta78.46_dMpc0
-14.207,0.5,,0.9873333333333333,,,,-15.038,0.5,,0.8753333333333337,,,,-15.087,0.5,,0.8053333333333335,,,,0.8309999999999995,0.879999999999999,0.8309999999999995,0.04899999999999949,0.879999999999999,0.04899999999999949,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta84.26_dMpc0
-14.185,0.5,,0.9813333333333342,,,,-15.009,0.5,,0.887333333333333,,,,-15.053,0.5,,0.838000000000001,,,,0.8239999999999998,0.8680000000000003,0.8239999999999998,0.04400000000000048,0.8680000000000003,0.04400000000000048,bulla_2019,nph1.0e+06_mej0.01_phi15_T3.0e+03_theta90.00_dMpc0
-14.914,0.5,,0.7333333333333331,,,,-15.33,0.5,,0.5179999999999995,,,,-15.131,0.5,,0.37399999999999994,,,,0.41600000000000037,0.21700000000000053,0.41600000000000037,-0.19899999999999984,0.21700000000000053,-0.19899999999999984,bulla_2019,nph1.0e+06_mej0.01_phi15_T5.0e+03_theta0.00_dMpc0
-14.831,0.5,,0.7253333333333328,,,,-15.242,0.5,,0.5100000000000003,,,,-15.06,0.5,,0.3793333333333339,,,,0.41100000000000136,0.22900000000000098,0.41100000000000136,-0.18200000000000038,0.22900000000000098,-0.18200000000000038,bulla_2019,nph1.0e+06_mej0.01_phi15_T5.0e+03_theta25.84_dMpc0
