obj_id,type,category,redshift,ztfg_peak_time,ztfg_peak_mag,ztfr_peak_time,ztfr_peak_mag,ztfi_peak_time,ztfi_peak_mag,ztfg_peak_gr_color,ztfg_peak_gi_color,ztfr_peak_gr_color,ztfr_peak_ri_color,ztfi_peak_gi_color,ztfi_peak_ri_color,ztfg_fwhm,ztfr_fwhm,ztfi_fwhm,ztfg_rise_hwhm,ztfr_rise_hwhm,ztfi_rise_hwhm,ztfg_fade_hwhm,ztfr_fade_hwhm,ztfi_fade_hwhm,ztfg_rise_duration,ztfg_rise_rate,ztfr_rise_duration,ztfr_rise_rate,ztfi_rise_duration,ztfi_rise_rate,ztfg_fade_duration,ztfg_fade_rate,ztfr_fade_duration,ztfr_fade_rate,ztfi_fade_duration,ztfi_fade_rate
ZTF19abyjzvd,Ibn,Misc SNe,0.1353,2.9635630814289606,-19.92387461173044,3.4541529158547006,-19.803394664088906,,,-0.12321610839823549,,-0.11706089786645535,,,,10.002025399822742,10.002025399822742,,2.9635630814289606,3.4541529158547006,,7.038462318393782,6.547872483968041,,2.9635630814289606,-0.04334628836870387,3.4541529158547006,-0.035750660858341256,,,1.9923954500147407,0.02626057234843254,1.9923954500147407,0.02148365958361856,,
ZTF19acbumks,Ic-BL,Misc SNe,0.031,3.2679554595200866,-16.59948145785431,3.340576691953866,-16.734798803140784,,,0.13502907343377757,,0.13561242556712472,,,,9.06857640016824,9.06857640016824,,3.2679554595200866,3.340576691953866,,5.8006209406481535,5.727999708214374,,3.2679554595200866,-0.1750601505522521,3.340576691953866,-0.19142072387874354,,,1.9970838919289413,0.08702527087875171,1.9970838919289422,0.07783296749642774,,
ZTF19accjfgv,IIb,IIb,0.027,0.0,-17.419201298396963,0.0,-17.4074026967417,,,-0.011798601655264918,,-0.011798601655264918,,,,12.459381364599185,16.726814737183613,,,,,6.2296906822995926,8.363407368591806,,,,,,,,1.9813083515570569,0.08217678371761655,1.9813083515570569,0.03755944192686084,,
ZTF20aahfqpm,IIb,IIb,0.03113,0.0,-16.60954663952014,0.0,-16.286417062852685,0.0,-16.038284033059888,-0.3231295766674549,-0.5712626064602517,-0.3231295766674549,-0.24813302979279683,-0.5712626064602517,-0.24813302979279683,3.566538335340614,4.67818664765457,4.72450532733432,,,,1.783269167670307,2.339093323827285,2.36225266366716,,,,,,,1.9917032262291736,0.4294121510292669,1.9917032262291736,0.3077398352760185,1.9917032262291736,0.30041042617474045
ZTF20aajnksq,Afterglow,Afterglow,2.9,,,0.0,-27.26342887520716,,,,,,,,,,0.1305323997512458,,,,,,0.0652661998756229,,,,,,,,,,0.0652661998756229,2.8643234740617087,,
ZTF20aaxhzhc,IIb,IIb,0.037,1.5030089353357587,-17.686802101405103,3.5226771921931848,-17.512142542939152,5.307500302904398,-17.388867069131738,-0.2234680223820149,-0.476823912115961,-0.1324497102731712,-0.16191132299692867,-0.14730988676354784,-0.08688803025062697,12.58769983343698,12.963452067270921,12.96345206727092,1.5030089353357587,3.5226771921931848,5.307500302904398,11.084690898101222,9.440774875077736,7.655951764366522,1.5030089353357587,-0.0124443843487432,3.5226771921931848,-0.03672728328909639,5.307500302904398,-0.06052282472097087,1.9726992276281832,0.0203705617255601,1.9726992276281834,0.02229018186514565,1.9726992276281834,0.016934968074985547
ZTF20aayrobw,II,Misc SNe,0.061,0.0,-18.640129438805577,0.0,-18.40035541726641,,,-0.23977402153916572,,-0.23977402153916572,,,,22.11993243243243,37.96875,,,,,11.059966216216216,18.984375,,,,,,,,1.9953547297297296,0.04696730903986497,1.9953547297297296,0.03463851627314018,,
ZTF20aazchcq,II,Misc SNe,0.03788,0.0,-16.588749248191665,0.0,-16.99551484183709,0.0,-17.063345206709947,0.4067655936454244,0.4745959585182824,0.4067655936454244,0.06783036487285798,0.4745959585182824,0.06783036487285798,14.135138800367713,14.135138800367713,14.135138800367713,,,,7.0675694001838565,7.0675694001838565,7.0675694001838565,,,,,,,1.99504962047232,0.029933894458496365,1.99504962047232,0.03708836569885515,1.99504962047232,0.036092903281153235
ZTF20abstsxb,Ia,Misc SNe,0.094,15.010221419808408,-18.94920268258205,13.962021599989384,-19.13148412072592,,,0.1776915083025905,,0.18641034757287755,,,,24.527875783765133,23.186180014396786,,14.549013499088037,12.159117909900665,,9.978862284677097,11.027062104496121,,15.010221419808408,-0.05391295265322321,13.962021599989384,-0.07581907963815439,,,1.970615661259762,0.00638119194085832,1.9706156612597638,0.007867694667727784,,
ZTF20aburywx,IIb,IIb,0.0313,0.0,-16.20378496792204,0.0,-16.209190381249606,,,0.005405413327565611,,0.005405413327565611,,,,4.03009259980172,4.03009259980172,,,,,2.01504629990086,2.01504629990086,,,,,,,,1.9989097929947464,0.16469868688577755,1.9989097929947464,0.15632289287759352,,
ZTF20abwzqzo,IIb,IIb,0.023033,14.725243235957828,-16.409487385154147,17.122375855764915,-17.172359573497843,,,0.7123374817423311,,0.8112001093150241,,,,24.362694789059795,17.46482337288021,,14.725243235957828,9.588530479228352,,9.637451553101966,7.876292893651861,,14.725243235957828,-0.026299769899720785,17.122375855764915,-0.09118081262198892,,,1.9568429549445607,0.016448415303521313,1.956842954944566,0.015584474347096257,,
ZTF20acgigfo,Novae,Galactic,0.00017,3.304713881062763,-6.8446637867958025,3.121118665448165,-7.332600601571691,,,0.4730368533203837,,0.5042416457789862,,,,4.222689959135753,3.4883090966773613,,2.799827038122619,2.065446175664227,,1.422862921013134,1.4228629210131345,,3.304713881062763,-0.3152892766428983,3.121118665448165,-0.42514749528608237,,,1.973648567856928,0.6487452817045584,1.9736485678569284,0.646858841707013,,
ZTF20acgiglu,IIb,IIb,0.026728,19.20229025013573,-16.77799122163011,23.52280555641628,-17.249326633175528,,,0.3959891731608707,,0.6052384899523489,,,,20.738473470146594,25.39502885580451,,9.601145125067863,13.921660431348414,,11.137328345078732,11.473368424456098,,19.20229025013573,-0.1264952075119029,23.52280555641628,-0.05416562296269415,,,1.9682347506389206,0.014342968157414504,1.9682347506389064,0.009206727059907754,,
ZTF20acigusw,II,Misc SNe,0.062,0.0,-18.273972875516453,0.0,-18.12591204498758,,,-0.1480608305288733,,-0.1480608305288733,,,,11.586839647738039,11.99578692942291,,,,,5.793419823869019,5.997893464711455,,,,,,,,1.9936179982137507,0.10818821860084323,1.9936179982137507,0.08039993364375275,,
