object,ztfg_mean,ztfg_min,ztfg_max,ztfr_mean,ztfr_min,ztfr_max,ztfi_mean,ztfi_min,ztfi_max
ZTF18aakuewf,3.7673150616820004,-11.326772758719885,83.91191288076467,34.21265982386128,8.485562733690134,69.91218119397898,,,
ZTF18aalrxas,17.01122942731888,6.405485291893066,38.399158528389485,11.487167295855464,3.8005062700438703,26.415654124616395,,,
ZTF18abantmh,15.254603189003685,5.410690556124091,45.032607988987266,16.271179988353907,5.840427609740644,31.47061541904796,9.300135498031922,7.877942536150077,10.476265101433645
ZTF18abffyqp,8.369012469143287,2.329261198543666,22.95376762367252,8.948562835345037,2.600746462807096,22.295752059685267,5.213742465398134,-5.3966914749588755,8.301370476785845
ZTF18abvkmgw,7.458102052006908,-5.071132828245959,14.12560306878848,11.932417885914136,5.778481295847318,15.14128553810838,-2.57740868381545,-7.176902885071137,6.61513918366321
ZTF18abwkrbl,11.614685767188607,2.926410251358507,35.765596834903114,11.841477015407103,3.6076842749325357,35.01584251249407,,,
ZTF19aanbpus,13.476058033393619,-10.22439185217291,34.887573733712294,19.592150800267042,-8.148481450655638,42.43225683554144,17.24653067241088,7.409904368660533,23.803740385191507
ZTF19aaojovs,7.125100622421511,7.0714952622806395,7.178705982562383,7.17438248358902,5.026091055805369,8.93286524725617,,,
ZTF19aapfmki,12.314695695838122,7.927859553679951,20.25551711390546,10.016924460291854,3.5889138274292405,23.44800094451348,,,
ZTF19aatesgp,11.407133353390098,4.106011638950233,24.405696420863922,21.51213013664478,5.886671465545377,35.4537680300001,41.56285489453632,33.89324639282798,47.30258391315963
ZTF19aatoboa,7.252897550012531,4.979710283640205,10.660986559953603,7.495413664799713,5.42585962604637,12.71458137215866,,,
ZTF19abacxod,9.75722789027923,5.623332743054812,17.176109087143445,13.760927685554053,7.302135936588212,18.427920470062485,11.038624308931993,7.847125635280628,13.372288297173391
ZTF19abfarpa,9.590832402670584,3.5134479630369455,13.59753806586095,9.836682240071086,7.454842856207799,11.801865638483674,,,
ZTF19abxjrge,7.417079449523214,2.685199304282153,15.526042789321167,1.2745269798872687,-24.35391684056791,23.054661657421033,,,
ZTF19abxtcio,6.711901554154974,2.839052985546559,14.621725776479254,9.52686468993136,4.0620462094432135,24.786800687988315,,,
ZTF19abyjzvd,6.859644673329845,2.8585093654717153,10.41263805610089,5.04118534837188,3.149023853915137,8.34219101959654,,,
ZTF19acbumks,5.049424138217958,-5.123034583785044,12.206003484770282,10.068571883199755,7.37302024464399,12.877293908132094,,,
ZTF19accjfgv,9.842836887914682,3.624363920542003,15.430936941622516,13.234478672116897,5.051759207977971,22.48459720490261,,,
ZTF19acsakuv,6.655969681426889,5.305461859192666,8.508038078280984,7.4879603219573,6.163352912395486,9.37377459026882,,,
ZTF20aahfqpm,7.341003898710244,3.3620891344968786,10.866924649747622,5.1397376604485,3.54346755757957,10.276824061461554,5.006354234404017,3.1881843706572868,9.198036074593093
ZTF20aaivtof,10.921426599059762,6.580219161302124,15.425675642257703,8.276011579441171,6.06610756827606,11.298923926416789,,,
ZTF20aajnksq,,,,7.338358452276359,7.001499928122229,7.675216976430489,,,
ZTF20aakqxsq,4.359379804776796,3.6777937850258837,5.040965824527708,,,,,,
ZTF20aakypiu,5.229203213583518,2.6805389861802675,8.98275137286903,5.297337761433671,3.2920848976515797,9.018716134413264,7.04825939958151,3.3390214478638267,11.780991626503024
ZTF20aamsouh,,,,8.28393788504558,6.627506666161188,10.559479149191311,,,
ZTF20aaxhzhc,9.101509511923993,4.203913029266753,14.043020980731981,10.336423713269273,4.419004610015089,13.734629106224318,9.745983100354149,7.134880839081251,11.55567132580551
ZTF20aayrobw,9.631804550320874,4.654059280862843,15.655894098181461,10.892113756066065,5.287942544494323,14.89186669910692,,,
ZTF20aazchcq,4.902664693427613,3.5429937223685215,7.100538457204605,6.462706339913276,3.561998096601282,9.649016059571467,8.049145574515357,7.132600425610361,8.965690723420352
ZTF20abmvjda,4.51363228359332,4.51363228359332,4.51363228359332,3.216853224079024,3.216853224079024,3.216853224079024,,,
ZTF20abstsxb,6.2443486420615155,3.116063366413501,10.425236225509748,8.312631250858148,3.5797907179717576,15.587340271660745,,,
ZTF20abtxwfx,5.42567175025837,5.42567175025837,5.42567175025837,10.601753565489453,10.601753565489453,10.601753565489453,,,
ZTF20abummyz,,,,,,,,,
ZTF20aburywx,7.017188271620984,6.360086376251064,8.230262631280564,8.922767048401795,7.034658473654539,10.810875623149052,,,
ZTF20abwysqy,13.33550930563427,4.175908479838959,27.143405118953233,16.48456585215168,13.869486730646223,21.714724095162588,,,
ZTF20abwzqzo,6.601321467190621,3.602716297894143,10.84976724362162,9.666518623614216,-8.79236460441485,24.27908090399939,,,
ZTF20abxrugr,20.662168234317534,12.42830616803516,35.30390214528921,17.21414617730338,14.224985422137978,20.521210646125922,,,
ZTF20acgigfo,12.046783042032647,8.252344384816105,16.326860060953468,15.16762635292623,4.72852780542123,26.325983517921475,-5.875329618486498,-8.164908325574862,-4.278072058709453
ZTF20acgiglu,10.808053483579485,4.467296597742914,17.42732224271285,10.954603252959188,4.187633707099331,18.436055765743042,,,
ZTF20achedzl,4.645596094582072,4.645596094582072,4.645596094582072,,,,,,
ZTF20acigusw,9.744090805569035,3.4563055898749906,14.164486706282723,8.45797768717315,5.117036987395042,11.682371286121757,,,
ZTF20aclfmwn,7.082585010358757,5.317585813892654,9.49908758009144,6.939197290664225,4.852690919401197,7.7948582574537175,,,
ZTF20acozryr,4.830683775988924,3.8521226969608118,5.809244855017037,6.47112108773138,5.370437400196092,7.571804775266667,,,
ZTF20acpjgkt,6.461701135867771,6.093325957229064,6.830076314506478,7.76396952070511,6.904347333403278,8.037322429418786,,,
ZTF20acpkefi,8.253000741098713,3.3151036234288016,12.38181070403084,9.011166923118731,3.779707796323521,13.36491385972801,,,
ZTF20acpuwbf,11.264974740313576,5.04732785283742,17.840779326859426,12.978886236533079,5.765437683323014,21.777005568168793,,,
