mjd,flux_ztfg,flux_ztfr,flux_error_ztfg,flux_error_ztfr,type,obj_id,flux_ztfi,flux_error_ztfi
0.0,173.15792401426916,100.11590964351171,7.979293792935951,1.0994466006909325,Ibn,ZTF18aakuewf,,
21.64781156464508,15.07444770819211,26.501780964993713,9.775519816981785,1.7789987209269569,Ibn,ZTF18aakuewf,,
43.29562312929016,41.080263538522786,39.25011333498651,7.768569782526083,19.228332952998056,Ibn,ZTF18aakuewf,,
64.94343469393525,44.23918963389883,42.914394553945044,4.5892590343567115,18.698805062641526,Ibn,ZTF18aakuewf,,
86.59124625858033,47.53191627458085,45.93819486848531,2.176886809887082,18.50673660615783,Ibn,ZTF18aakuewf,,
108.23905782322541,48.013297508574006,45.585021291724544,5.336747343246807,18.805173386740034,Ibn,ZTF18aakuewf,,
129.8868693878705,50.81059876750703,47.76590096303839,8.736360544737382,19.361741345920464,Ibn,ZTF18aakuewf,,
151.53468095251557,44.85622837007844,43.49554972819516,3.2055324860608634,18.629289473411426,Ibn,ZTF18aakuewf,,
173.18249251716065,27.325204199766375,26.231408593340845,40.39841277122925,41.0973285042916,Ibn,ZTF18aakuewf,,
194.83030408180574,4.556293182312471,4.465301661601568,47.9406833800376,47.94848807044669,Ibn,ZTF18aakuewf,,
216.47811564645082,3.4637484073404385,3.4012922130271446,48.02034434219605,48.0244725533552,Ibn,ZTF18aakuewf,,
238.1259272110959,20.969411217055526,20.261183025925877,43.335835552533844,43.70667141154952,Ibn,ZTF18aakuewf,,
259.773738775741,52.79333812490478,49.561452613102524,9.446613158102268,19.93207778443681,Ibn,ZTF18aakuewf,,
281.42155034038603,36.4146411494995,34.989217942327315,20.05081403260557,25.304296132653707,Ibn,ZTF18aakuewf,,
303.06936190503114,46.095714372305565,43.97259325668887,20.917058160651617,25.274730051123065,Ibn,ZTF18aakuewf,,
324.71717346967625,50.54506536580169,48.10429930840519,11.512375595831932,20.354608059401777,Ibn,ZTF18aakuewf,,
346.3649850343213,47.40343619912122,44.82966150584029,3.2542270697704314,18.580860010106836,Ibn,ZTF18aakuewf,,
368.01279659896636,47.78501877392358,45.59262501584692,6.109907467154006,18.88484472965706,Ibn,ZTF18aakuewf,,
389.66060816361147,46.100099283173364,44.0483204896978,3.871811758298385,18.69828094576816,Ibn,ZTF18aakuewf,,
411.3084197282566,48.2587724391812,45.8053908792524,3.21942654492529,18.54370437848743,Ibn,ZTF18aakuewf,,
432.95623129290163,46.56991897446153,44.6942085821193,3.612825814954749,18.627678021565462,Ibn,ZTF18aakuewf,,
454.6040428575467,49.840357833909366,46.892581283727964,3.8494939468626175,18.650801036358132,Ibn,ZTF18aakuewf,,
476.2518544221918,50.66995729368762,47.786169188293115,6.068012275737786,18.8983546503146,Ibn,ZTF18aakuewf,,
497.8996659868369,48.68904365545657,45.89390585861449,6.792740760993231,19.14428066678342,Ibn,ZTF18aakuewf,,
519.547477551482,47.92570368315745,45.380898887782394,7.631218143701285,19.26405979080686,Ibn,ZTF18aakuewf,,
541.195289116127,15.377257670410106,14.897774651750849,44.42388006294506,44.688222685112954,Ibn,ZTF18aakuewf,,
562.8431006807721,2.3626352216357964,2.321689197946238,48.049932651080695,48.0527946620393,Ibn,ZTF18aakuewf,,
