obj_id,type,redshift,mjd,mjd_0,t,mag_ztfg,abs_mag_ztfg,mag_error_ztfg,mag_ztfr,abs_mag_ztfr,mag_error_ztfr,mag_ztfi,abs_mag_ztfi,mag_error_ztfi
ZTF18aakuewf,Ibn,0.0636,58226.34053240018,58226.34053240018,0.0,,,,18.961000442504883,-13.389765138937747,0.0317259989678859,,,
ZTF18aakuewf,Ibn,0.0636,58226.358622699976,58226.34053240018,0.018090299796313,,,,18.87190055847168,-13.47886502297095,0.0294139999896287,,,
ZTF18aakuewf,Ibn,0.0636,58226.378946799785,58226.34053240018,0.0384143996052444,,,,18.922800064086918,-13.427965517355716,0.0334930010139942,,,
ZTF18aakuewf,Ibn,0.0636,58226.414456000086,58226.34053240018,0.0739235999062657,,,,18.85650062561035,-13.494264955832278,0.0316190011799335,,,
ZTF18aakuewf,Ibn,0.0636,58226.41539350012,58226.34053240018,0.0748610999435186,,,,18.84950065612793,-13.5012649253147,0.0333789996802806,,,
ZTF18aakuewf,Ibn,0.0636,58226.41976850014,58226.34053240018,0.079236099962145,,,,18.899099349975582,-13.451666231467044,0.0342799983918666,,,
ZTF18aakuewf,Ibn,0.0636,58226.46123840008,58226.34053240018,0.1207059998996555,,,,18.85280036926269,-13.497965212179937,0.0321040004491806,,,
ZTF18aakuewf,Ibn,0.0636,58226.462187500205,58226.34053240018,0.1216551000252366,,,,18.767200469970703,-13.583565111471929,0.0307909995317459,,,
ZTF18aakuewf,Ibn,0.0636,58227.39890050003,58226.34053240018,1.0583680998533964,,,,18.420700073242188,-13.930065508200444,0.0282770004123449,,,
ZTF18aakuewf,Ibn,0.0636,58228.46425929992,58226.34053240018,2.1237268997356296,17.901100158691406,-14.449665422751224,0.0169270001351833,,,,,,
ZTF18aakuewf,Ibn,0.0636,58229.338425899856,58226.34053240018,2.997893499676138,17.714099884033203,-14.636665697409429,0.014054000377655,,,,,,
ZTF18aakuewf,Ibn,0.0636,58229.33937499998,58226.34053240018,2.998842599801719,17.69849967956543,-14.6522659018772,0.0139020001515746,,,,,,
ZTF18aakuewf,Ibn,0.0636,58229.39506939985,58226.34053240018,3.054536999668926,,,,17.926000595092773,-14.424764986349857,0.0170629993081092,,,
ZTF18aakuewf,Ibn,0.0636,58229.39964119997,58226.34053240018,3.059108799789101,,,,17.83329963684082,-14.51746594460181,0.0155300004407763,,,
ZTF18aakuewf,Ibn,0.0636,58229.400590300094,58226.34053240018,3.060057899914682,,,,17.947799682617188,-14.402965898825444,0.0171319991350173,,,
ZTF18aakuewf,Ibn,0.0636,58229.46828699997,58226.34053240018,3.127754599787295,17.6875,-14.66326558144263,0.0139089999720454,,,,,,
ZTF18aakuewf,Ibn,0.0636,58229.48590280023,58226.34053240018,3.145370400045067,17.763999938964844,-14.586765642477786,0.0144889997318387,,,,,,
ZTF18aakuewf,Ibn,0.0636,58230.35760420002,58226.34053240018,4.017071799840778,17.681100845336914,-14.669664736105716,0.0129389995709061,,,,,,
ZTF18aakuewf,Ibn,0.0636,58230.37836810015,58226.34053240018,4.037835699971765,17.808300018310547,-14.542465563132083,0.0288949999958276,,,,,,
ZTF18aakuewf,Ibn,0.0636,58230.40140049998,58226.34053240018,4.060868099797517,17.673999786376953,-14.676765795065675,0.0131970001384615,,,,,,
ZTF18aakuewf,Ibn,0.0636,58230.43987269979,58226.34053240018,4.0993402996100485,,,,17.84119987487793,-14.5095657065647,0.0214620009064674,,,
ZTF18aakuewf,Ibn,0.0636,58230.4620254999,58226.34053240018,4.121493099723011,,,,17.611799240112305,-14.738966341330324,0.0332279987633228,,,
ZTF18aakuewf,Ibn,0.0636,58231.30795140006,58226.34053240018,4.967418999876827,,,,17.874399185180664,-14.476366396261966,0.0167280007153749,,,
ZTF18aakuewf,Ibn,0.0636,58231.35246529989,58226.34053240018,5.011932899709791,,,,17.858600616455078,-14.492164964987552,0.0198839996010065,,,
