obj_id,type,redshift,mjd,mag,magerr,filter,mjd_0,t,absmag
ZTF18aakuewf,Ibn,0.0636,58226.34053240018,18.961000442504883,0.03172599896788597,ztfr,58226.34053240018,0.0,-13.389765138937747
ZTF18aakuewf,Ibn,0.0636,58226.358622699976,18.87190055847168,0.029413999989628792,ztfr,58226.34053240018,0.018090299796313047,-13.47886502297095
ZTF18aakuewf,Ibn,0.0636,58226.378946799785,18.922800064086914,0.03349300101399422,ztfr,58226.34053240018,0.0384143996052444,-13.427965517355716
ZTF18aakuewf,Ibn,0.0636,58226.414456000086,18.85650062561035,0.03161900117993355,ztfr,58226.34053240018,0.07392359990626574,-13.494264955832278
ZTF18aakuewf,Ibn,0.0636,58226.41539350012,18.84950065612793,0.033378999680280685,ztfr,58226.34053240018,0.07486109994351864,-13.5012649253147
ZTF18aakuewf,Ibn,0.0636,58226.41976850014,18.899099349975586,0.03427999839186669,ztfr,58226.34053240018,0.07923609996214509,-13.451666231467044
ZTF18aakuewf,Ibn,0.0636,58226.46123840008,18.852800369262695,0.0321040004491806,ztfr,58226.34053240018,0.12070599989965558,-13.497965212179935
ZTF18aakuewf,Ibn,0.0636,58226.462187500205,18.767200469970703,0.030790999531745907,ztfr,58226.34053240018,0.1216551000252366,-13.583565111471927
ZTF18aakuewf,Ibn,0.0636,58227.39890050003,18.420700073242188,0.028277000412344933,ztfr,58226.34053240018,1.0583680998533964,-13.930065508200443
ZTF18aakuewf,Ibn,0.0636,58228.464259299915,17.901100158691406,0.016927000135183334,ztfg,58226.34053240018,2.1237268997356296,-14.449665422751224
ZTF18aakuewf,Ibn,0.0636,58229.338425899856,17.714099884033203,0.01405400037765503,ztfg,58226.34053240018,2.997893499676138,-14.636665697409427
ZTF18aakuewf,Ibn,0.0636,58229.33937499998,17.69849967956543,0.013902000151574612,ztfg,58226.34053240018,2.998842599801719,-14.6522659018772
ZTF18aakuewf,Ibn,0.0636,58229.39506939985,17.926000595092773,0.017062999308109283,ztfr,58226.34053240018,3.054536999668926,-14.424764986349857
ZTF18aakuewf,Ibn,0.0636,58229.39964119997,17.83329963684082,0.015530000440776348,ztfr,58226.34053240018,3.059108799789101,-14.51746594460181
ZTF18aakuewf,Ibn,0.0636,58229.400590300094,17.947799682617188,0.017131999135017395,ztfr,58226.34053240018,3.060057899914682,-14.402965898825443
ZTF18aakuewf,Ibn,0.0636,58229.46828699997,17.6875,0.013908999972045422,ztfg,58226.34053240018,3.127754599787295,-14.66326558144263
ZTF18aakuewf,Ibn,0.0636,58229.485902800225,17.763999938964844,0.014488999731838703,ztfg,58226.34053240018,3.145370400045067,-14.586765642477786
ZTF18aakuewf,Ibn,0.0636,58230.35760420002,17.681100845336914,0.012938999570906162,ztfg,58226.34053240018,4.017071799840778,-14.669664736105716
ZTF18aakuewf,Ibn,0.0636,58230.37836810015,17.808300018310547,0.028894999995827675,ztfg,58226.34053240018,4.037835699971765,-14.542465563132083
ZTF18aakuewf,Ibn,0.0636,58230.40140049998,17.673999786376953,0.013197000138461592,ztfg,58226.34053240018,4.060868099797517,-14.676765795065677
ZTF18aakuewf,Ibn,0.0636,58230.43987269979,17.84119987487793,0.021462000906467438,ztfr,58226.34053240018,4.0993402996100485,-14.5095657065647
ZTF18aakuewf,Ibn,0.0636,58230.4620254999,17.611799240112305,0.03322799876332283,ztfr,58226.34053240018,4.121493099723011,-14.738966341330325
ZTF18aakuewf,Ibn,0.0636,58231.30795140006,17.874399185180664,0.016728000715374947,ztfr,58226.34053240018,4.967418999876827,-14.476366396261966
