oid,measurement_id,mjd,ra,dec,band,band_name,psfFlux,psfFluxErr,scienceFlux,scienceFluxErr,snr,visit,detector,diaObjectId,ssObjectId,has_stamp,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,bboxSize,centroid_flag,decErr,dipoleAngle,dipoleChi2,dipoleFitAttempted,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleMeanFlux,dipoleMeanFluxErr,dipoleNdata,extendedness,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,glint_trail,isDipole,isNegative,ixx,ixxPSF,ixy,ixyPSF,iyy,iyyPSF,parentDiaSourceId,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_suspect,pixelFlags_suspectCenter,psfChi2,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,psfLnL,psfNdata,raErr,ra_dec_Cov,reliability,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,survey_id,templateFlux,templateFluxErr,timeProcessedMjdTai,timeWithdrawnMjdTai,trailAngle,trailAngleErr,trailChi2,trailDec,trailDecErr,trailFlux,trailFluxErr,trailLength,trailLengthErr,trailNdata,trailRa,trailRaErr,trail_flag_edge,x,xErr,y,yErr
313888627043074080,313888627043074080,61032.32800285226,151.17222961550124,2.7725170182809817,1,g,1382.7146,131.31238,10071.737,129.70772,10.436634,2025122200354,62,313888627043074080,0,True,1111.2571,272.35464,False,False,24,False,2.5610287e-05,,,False,,,,,,0,0.17790526,False,False,False,False,False,False,0.26231623,0.2443652,-0.046631515,-0.025575548,0.39721686,0.32100737,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1644.3772,False,False,False,,1681,1.9671843e-05,-3.9523596e-11,0.3971022,False,False,False,False,lsst,8674.272,9.353211,61081.97478129828,,9.182073,,,2.772506470356392,,1469.0581,2.983762,1.3118479,,0,151.1722265989512,,False,559.7635,0.35143653,1028.251,0.46274084
313888627043074080,313888627201409155,61032.328496270005,151.1722684452953,2.7724497295548525,1,g,1206.749,133.6311,11022.2295,132.60126,8.908928,2025122200355,108,313888627043074080,0,True,1486.8215,277.50906,False,False,21,False,3.218801e-05,,,False,,,,,,0,0.007881348,False,False,False,False,False,False,0.22233918,0.24183837,-0.038653433,-0.04029185,0.33828858,0.30026376,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1645.4717,False,False,False,,1681,2.4152476e-05,-9.639039e-11,0.3449126,False,False,False,False,lsst,9822.522,13.566992,61081.9549368483,,5.3067513,,,2.772444291088875,,1259.1013,3.0777078,1.2093048,,0,151.17226997600991,,False,1977.3319,0.42754593,3843.8384,0.58451563
313888627043074080,313888627337199768,61032.328992634546,151.17225158425967,2.772538809780079,1,g,1092.9658,213.89166,12288.954,214.19278,5.115165,2025122200356,111,313888627043074080,0,True,629.0338,397.32645,False,False,15,False,4.494273e-05,,,False,,,,,,0,,False,False,False,False,False,False,,0.29640478,,-0.042141408,,0.41044083,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1631.9293,False,False,False,,1681,4.0842286e-05,-9.7592635e-11,0.19110268,True,False,False,False,lsst,11138.076,7.9012384,61081.87932088463,,,,,,,,,,,0,,,False,562.0148,0.729781,2582.3162,0.81344575
313888627043074080,313893021491921011,61033.277873815736,151.1722526149658,2.772499357964415,1,g,4270.9097,178.78746,16333.459,179.18756,23.45651,2025122300327,112,313888627043074080,0,True,4149.842,307.014,False,False,39,False,1.1612998e-05,,,False,,,,,,0,0.007927537,False,False,False,False,False,False,0.5903666,0.62691015,-0.058004446,-0.11688749,0.32209072,0.30995786,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1629.6665,False,False,False,,1681,1.4205238e-05,8.073051e-11,0.76405525,False,False,False,False,lsst,12039.047,7.27895,61081.88430371581,,44.55613,,,2.772495493722957,,4923.8345,6.4697924,1.7217767,,0,151.17225083448884,,False,3571.1067,0.28821003,3733.0557,0.16190355
313888627043074080,313893021628235863,61033.278368767875,151.1721395177661,2.772417928432122,1,g,3794.3481,175.38098,16123.182,177.39243,22.171144,2025122300328,116,313888627043074080,0,True,4164.0977,308.91763,False,False,38,False,3.4847115e-05,,,False,,,,,,0,0.07579836,False,False,False,False,False,False,0.6635907,0.6772278,-0.077847585,-0.09262297,0.22336559,0.28767586,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1770.7345,False,False,False,,1681,4.530181e-05,1.4124858e-09,0.43158832,False,False,False,False,lsst,12185.645,7.4904685,61081.9891179583,,43.510956,,,2.772478465639096,,4759.9985,20.499498,2.081467,,0,151.17223382707562,,False,441.48944,1.0047781,2652.7434,0.22765629
313888627043074080,313893021782376472,61033.27886523056,151.1722760873256,2.772501849039242,1,g,4299.6973,191.59903,18473.258,191.87654,21.643522,2025122300329,154,313888627043074080,0,True,4364.2686,304.13263,False,False,40,False,3.2469216e-05,,,False,,,,,,0,0.008498503,False,False,False,False,False,False,0.85853183,0.80824155,-0.1191038,-0.056454074,0.32573032,0.34793645,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1674.9935,False,False,False,,1681,3.7721544e-05,1.0274408e-09,0.6565874,False,False,False,False,lsst,14132.324,6.692884,61081.903325999236,,38.035767,,,2.772500251771621,,5114.5977,4.3920813,2.343081,,0,151.1722883824993,,False,1833.0643,0.8608079,1038.9111,0.25115865
313888627043074080,313928194427715665,61041.223447757984,151.17225879873726,2.7725108188366065,3,i,5188.856,367.1796,18096.848,371.54,13.572897,2025123100242,59,313888627043074080,0,True,6433.4097,896.2933,False,False,21,False,1.4417591e-05,,,False,,,,,,0,0.01444405,False,False,False,False,False,False,0.1595617,0.18973327,0.016860388,0.00019641113,0.21275449,0.20398581,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1790.4236,False,False,False,,1681,1.25951165e-05,7.765655e-12,0.91605943,False,False,False,False,lsst,12851.871,17.817368,61081.96423622922,,172.69225,,,2.772511501626214,,4971.4893,8.648257,0.8293478,,0,151.17225668387644,,False,1449.6145,0.22593464,2712.6716,0.26027682
313888627043074080,313928194561409118,61041.22394727096,151.1722539171837,2.7724969412882454,3,i,4472.406,374.50555,18232.18,378.05627,11.9494705,2025123100243,58,313888627043074080,0,True,4146.01,883.3301,False,False,23,False,1.7574754e-05,,,False,,,,,,0,0.011714342,False,False,False,False,False,False,0.22660513,0.21085168,-0.017287975,-0.009042948,0.17785133,0.21361047,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1653.3855,False,False,False,,1681,1.8328034e-05,-2.9683415e-12,0.83778644,False,False,False,False,lsst,13691.032,21.361748,61081.95961336048,,78.29564,,,2.7725021600225466,,4423.7656,9.339692,0.8124569,,0,151.17225419406432,,False,1868.0558,0.3300506,3268.9363,0.31611714
313888627043074080,313928194964586518,61041.22792416099,151.1722505801449,2.7724890076278013,3,i,4490.257,344.91135,16534.814,347.72934,12.941265,2025123100246,59,313888627043074080,0,True,4945.1655,882.47003,False,False,18,False,1.531296e-05,,,False,,,,,,0,0.0889418,False,False,False,False,False,False,0.13148506,0.17041966,-0.004295531,0.004583621,0.17749745,0.19040574,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1656.6279,False,False,False,,1681,1.32344485e-05,-3.259981e-12,0.79756594,False,False,False,False,lsst,11988.9795,13.540931,61081.97375915243,,2.279459,,,2.7724930868099773,,4314.885,4.456888,0.718279,,0,151.17225382335226,,False,744.8501,0.23815934,800.40424,0.27578503
313888627043074080,313928195104571462,61041.22841915843,151.17225802814687,2.7725084599208354,3,i,4107.0938,318.273,13748.436,321.33087,12.526136,2025123100247,70,313888627043074080,0,True,3931.3508,896.9902,False,False,18,False,1.537545e-05,,,False,,,,,,0,0.026590012,False,False,False,False,False,False,0.121012524,0.13822776,-0.0506505,-0.015537751,0.19547458,0.1532171,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1677.856,False,False,False,,1681,1.2643485e-05,-8.402093e-12,0.82574856,False,False,False,False,lsst,9566.27,15.842228,61081.94908527675,,20.716791,,,2.772504229773416,,4327.0054,11.507176,1.1098357,,0,151.1722551831118,,False,2258.5251,0.22729214,1668.4059,0.27740026
