oid,survey_id,measurement_id,mjd,ra,dec,band,band_name,psfFlux,psfFluxErr,scienceFlux,scienceFluxErr,visit,detector,timeProcessedMjdTai,timeWithdrawnMjdTai,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,corrected,decnr,diffmaglim,distnr,dubious,e_mag,e_mag_corr,e_mag_corr_ext,exptime,field,isdiffpos,mag,mag_corr,magnr,magzpsci,magzpscirms,magzpsciunc,parent_candid,pid,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
313888627043074080,lsst,170019716343005213,61088.211979366155,151.17226577944626,2.7725148447422656,2,r,4468.203,166.28058,13498.996,160.34448,2026021600255,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170019716473028612,61088.212443683144,151.17226563300414,2.7725148065086573,2,r,4541.0103,162.41673,13005.839,157.18678,2026021600256,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170019717148311684,61088.21739376974,151.17226570990024,2.7725147010865894,4,z,6152.7036,388.87543,17530.033,377.08646,2026021600261,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170019717283053580,61088.21785947578,151.17226587030862,2.772514764490002,4,z,6249.403,366.21268,16629.775,355.50974,2026021600262,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028510526046300,61090.180597784965,151.17226655931492,2.7725146145887165,3,i,5809.4395,277.43387,19871.47,268.41815,2026021800241,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028510656594197,61090.18106558244,151.17226652576701,2.7725144865817115,3,i,6346.199,269.2802,19511.518,260.31375,2026021800242,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511082840081,61090.182463713754,151.17226658344828,2.7725146304789763,3,i,5828.244,270.10544,19532.584,260.97937,2026021800245,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511213387865,61090.182928447764,151.17226662522168,2.772514561112074,3,i,6192.5435,249.01884,17975.992,240.10062,2026021800246,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511347605643,61090.18339506337,151.17226661839933,2.772514546552672,3,i,6301.573,272.8948,20508.5,263.31216,2026021800247,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511488638989,61090.18385856578,151.17226661797875,2.7725147985407728,3,i,6423.172,256.30658,18484.535,247.36324,2026021800248,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511617613834,61090.18432797135,151.1722665526176,2.772514718191901,3,i,6470.7476,251.59811,18636.305,242.8005,2026021800249,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028511750258938,61090.18479328063,151.17226665176128,2.7725146483926917,3,i,6312.6875,250.65382,18278.252,241.89796,2026021800250,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512159727659,61090.186195496266,151.17226673772836,2.7725146509814285,3,i,6198.838,239.96385,16654.29,231.99927,2026021800253,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512289226788,61090.18666143439,151.17226680350822,2.772514632556048,3,i,6069.669,238.99623,16792.17,230.9034,2026021800254,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512439173263,61090.18851185376,151.17226658873136,2.77251497517978,1,g,2017.0442,148.63123,10492.287,145.07382,2026021800255,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512560807956,61090.189136608766,151.17226683119347,2.772514683005743,1,g,2043.8035,155.93645,12180.571,152.78171,2026021800256,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512673005707,61090.189604142084,151.17226661658094,2.7725146357167825,1,g,1942.7029,144.97615,10822.41,140.5141,2026021800257,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028512960839716,61090.190528422056,151.17226706827856,2.7725149108962555,1,g,2333.4834,156.55887,12493.994,153.14734,2026021800259,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028513094008946,61090.19099295893,151.17226645360392,2.772514648007684,1,g,1823.2063,154.21915,11829.723,150.15857,2026021800260,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028513227702331,61090.191458506844,151.17226663780127,2.7725146724134544,1,g,1952.0756,147.75455,11182.003,144.42006,2026021800261,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028513361920105,61090.19192419702,151.17226670848646,2.772514962105916,1,g,2182.5957,157.4305,12533.428,153.90125,2026021800262,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028513631928347,61090.192853427056,151.17226647717507,2.772514796786766,1,g,1923.8601,161.11667,12788.297,157.65527,2026021800264,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028513898790946,61090.193787357464,151.17226617864682,2.772514966807687,1,g,1799.6804,174.22198,14355.288,170.17601,2026021800266,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514051883040,61090.194249104345,151.17226642439135,2.7725151704727415,1,g,1996.3464,167.95639,12418.192,164.50868,2026021800267,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514185052414,61090.19471476575,151.17226665995864,2.772515354668496,1,g,1775.093,174.87048,12238.294,171.19286,2026021800268,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514298822909,61090.19518579271,151.1722664914655,2.772515316713057,1,g,1880.1735,144.42172,10790.173,140.23477,2026021800269,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514449293330,61090.19701994756,151.1722664393314,2.7725149999849905,4,z,6671.8765,506.89407,25496.844,491.18082,2026021800270,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514574074048,61090.19771844729,151.17226633957083,2.772515323416746,4,z,5851.308,510.14795,23689.39,496.81772,2026021800271,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514686271832,61090.1981869452,151.17226633957083,2.772515323416746,4,z,5214.1973,562.804,25839.113,549.22546,2026021800272,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514842509322,61090.198652162435,151.17226588270685,2.7725157467275605,4,z,6625.8984,559.35815,27379.98,545.4019,2026021800273,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028514974105808,61090.19911709258,151.17226584341662,2.772515720131632,4,z,7258.0864,540.6138,26746.13,527.19324,2026021800274,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515108847620,61090.199582002075,151.1722660454247,2.772515607050688,4,z,7243.848,524.7483,25595.742,511.73755,2026021800275,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515242541063,61090.20004827992,151.1722659378648,2.772515712757591,4,z,7283.1904,594.11487,31056.31,578.84436,2026021800276,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515376758802,61090.20051655863,151.1722659378648,2.772515712757591,4,z,6534.7607,714.8318,38899.29,697.316,2026021800277,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515645194413,61090.20144634352,151.17226601161636,2.772515587983358,4,z,7475.5625,673.4845,35997.992,655.8028,2026021800279,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515779412058,61090.201911962686,151.17226602332775,2.772515530758709,4,z,5431.423,644.3498,31525.22,628.8942,2026021800280,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028515912057008,61090.20237691069,151.17226597290747,2.7725161190551693,4,z,6795.511,608.97455,30201.215,595.1482,2026021800281,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516064624646,61090.20283718435,151.17226597290747,2.7725161190551693,4,z,5718.866,804.87524,43334.973,783.74634,2026021800282,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516311564327,61090.20377278181,151.1722661368941,2.7725156991508277,4,z,7070.4937,507.06158,23485.377,494.66086,2026021800284,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516462559439,61090.20557180919,151.17226605205127,2.772515572610949,2,r,5002.4336,225.62587,20133.068,219.19492,2026021800285,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516600447232,61090.20618903403,151.17226623323802,2.772515951777097,2,r,5020.068,268.57468,25720.176,261.6656,2026021800286,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516719460446,61090.20665668342,151.17226648922923,2.7725156892807887,2,r,5376.429,293.74484,30648.154,286.0154,2026021800287,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516868882488,61090.207120104984,151.1722662816091,2.772515913471664,2,r,4668.7036,261.08948,24180.344,253.33656,2026021800288,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028516998906244,61090.20758356889,151.17226621819188,2.7725158627144,2,r,4807.1206,290.47543,27038.871,283.07797,2026021800289,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028517136793826,61090.20805073771,151.17226630684965,2.7725159025903863,2,r,4905.452,258.1239,23387.523,251.19508,2026021800290,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028517267341384,61090.208516529354,151.17226610949805,2.7725157307521955,2,r,5055.25,249.1334,21443.29,242.18837,2026021800291,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028517401559131,61090.208981006566,151.1722663367788,2.7725159050335875,2,r,5499.8774,263.6221,23781.43,256.6776,2026021800292,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028517669994826,61090.209911183556,151.17226668881455,2.772515964179086,2,r,4815.2544,213.72122,17808.01,208.30516,2026021800294,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028517922701450,61090.21084512786,151.17226656778456,2.7725158289904113,2,r,4395.4756,193.40015,16080.741,187.87898,2026021800296,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518073172001,61090.211308147875,151.17226662073648,2.7725156933654964,2,r,4723.566,184.16377,14351.592,179.39539,2026021800297,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518207914028,61090.21177405331,151.1722665580253,2.7725157489360526,2,r,4604.845,190.55304,14592.735,184.89825,2026021800298,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518320635929,61090.212240906156,151.17226654060775,2.7725156609505897,2,r,4968.298,215.572,18969.744,208.74306,2026021800299,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518614761490,61090.21468858524,151.172266614231,2.7725159071068224,3,i,5798.0024,272.9892,16932.625,266.20505,2026021800301,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518732202101,61090.21515293899,151.17226661012566,2.7725159790736433,3,i,6456.717,315.19016,21400.072,307.04523,2026021800302,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028518881624094,61090.215617639304,151.17226665061486,2.7725160115862244,3,i,6233.8086,291.49152,19279.41,283.48868,2026021800303,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519011647685,61090.21608362456,151.1722667006302,2.7725158598114903,3,i,6112.9873,284.19922,18579.387,276.74698,2026021800304,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519146389611,61090.2165484522,151.17226665587054,2.7725159898660268,3,i,6345.608,291.6819,19372.459,282.67114,2026021800305,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519280082948,61090.217014973474,151.17226671663167,2.772516141756516,3,i,6271.417,285.77875,19039.82,277.75885,2026021800306,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519414300692,61090.21748062823,151.17226656291632,2.772515984509047,3,i,6154.706,311.33234,21505.506,302.91998,2026021800307,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519816953946,61090.21887727787,151.17226684194165,2.7725159870858787,3,i,6380.3843,295.95645,19888.906,288.5733,2026021800310,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028519935442948,61090.219342439705,151.1722668403596,2.772515820953497,3,i,6555.096,362.76712,26093.848,353.87393,2026021800311,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520220655620,61090.22027472742,151.17226693955598,2.7725159665389913,3,i,5539.924,372.12122,25944.543,362.74527,2026021800313,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520333901980,61090.22074278259,151.17226695152127,2.7725159542387914,3,i,6364.227,380.92703,28213.924,371.3184,2026021800314,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520477556759,61090.22258711555,151.17226689227388,2.7725162141229767,1,g,2197.3904,197.36682,18142.336,191.89754,2026021800315,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520626979002,61090.22305840437,151.17226660393922,2.7725159656010576,1,g,2035.0382,213.87488,18303.928,208.00005,2026021800316,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520745992217,61090.22352579983,151.17226708320797,2.7725154682464823,1,g,2249.1792,188.161,17046.54,182.8316,2026021800317,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028520895414285,61090.22399201628,151.1722671826411,2.772515687227512,1,g,2161.2395,224.50468,19716.943,218.3075,2026021800318,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521025438004,61090.22446261891,151.17226685742122,2.77251557046741,1,g,1855.3165,203.47424,16381.931,198.0039,2026021800319,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521163325603,61090.22492843913,151.1722672975273,2.7725157536562075,1,g,2374.0876,188.43317,15818.828,183.67749,2026021800320,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521293873182,61090.225396120295,151.17226704384322,2.7725160409900647,1,g,1959.636,222.5115,18690.98,216.89067,2026021800321,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521428090925,61090.225862096835,151.172266718703,2.772515582813353,1,g,1938.7866,232.67781,19505.414,226.85063,2026021800322,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521563881871,61090.22632448294,151.17226681132496,2.7725162224661792,1,g,1482.2258,243.15495,21892.5,237.61249,2026021800323,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521696526589,61090.226792596615,151.17226698274717,2.7725159187152015,1,g,2021.4265,208.56686,17394.469,203.01906,2026021800324,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521830744179,61090.22725824319,151.1722668973496,2.7725154219909047,1,g,2059.963,207.1352,16730.213,201.92021,2026021800325,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028521949233260,61090.227725356526,151.17226681649106,2.7725154272944272,1,g,1982.6704,182.57065,15966.452,176.88437,2026021800326,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028522347167752,61090.22912295166,151.1722665586173,2.772515054671254,1,g,2096.298,181.80234,15855.456,177.03009,2026021800329,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028522471424216,61090.23098339236,151.172267078172,2.772515837777168,4,z,6293.025,609.2248,30552.209,594.4716,2026021800330,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028522627137554,61090.23141905581,151.17226711598204,2.7725157812004606,4,z,6366.06,559.30566,26484.562,545.5957,2026021800331,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028522739335342,61090.23188517154,151.17226684482327,2.772515867518409,4,z,6865.1943,606.9245,30415.697,592.6535,2026021800332,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028522894000361,61090.23235107787,151.1722668605568,2.7725159213250286,4,z,7023.729,632.86707,31981.783,617.8088,2026021800333,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523027169309,61090.23281692643,151.1722667595107,2.772515812449712,4,z,6346.4033,567.65485,27455.764,554.0842,2026021800334,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523160338559,61090.23328397336,151.17226669101564,2.7725159198815965,4,z,6895.38,564.52,27638.879,551.49664,2026021800335,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523294031934,61090.2337509309,151.1722669331334,2.77251593232356,4,z,6439.327,545.60046,26809.031,531.74786,2026021800336,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523428249728,61090.23421961845,151.1722671268537,2.772515793253255,4,z,6806.3755,583.54736,30510.996,568.197,2026021800337,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523580293303,61090.23468264172,151.17226715594956,2.772515832470043,4,z,5916.0615,558.4394,27884.516,541.9989,2026021800338,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523698257945,61090.23514918928,151.17226715594956,2.772515832470043,4,z,5554.608,529.897,25944.33,513.7667,2026021800339,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028523965120545,61090.23608541384,151.17226731775605,2.772515732710627,4,z,6629.731,467.4876,22389.973,454.83978,2026021800341,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028524118212638,61090.23654644309,151.17226755416138,2.772515534961037,4,z,5760.995,475.2905,22144.56,461.05316,2026021800342,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028524365152527,61090.23747996443,151.17226762469937,2.772515587678411,4,z,6847.2856,533.7211,25913.928,519.4961,2026021800344,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028524771999799,61090.240308331515,151.17226782321637,2.7725154003801875,2,r,4951.1772,220.5807,19731.174,214.13174,2026021800347,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028525051445360,61090.24124078986,151.17226775833555,2.772515408716805,2,r,5359.3604,229.76189,19931.521,223.80899,2026021800349,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028525186187302,61090.241708757756,151.1722677544668,2.772515476522623,2,r,4990.5938,219.22322,18577.3,212.92084,2026021800350,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028525320405196,61090.24217506204,151.1722677724671,2.7725152578007775,2,r,4738.9053,249.18266,21493.035,242.7848,2026021800351,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313888627043074080,lsst,170028525454098436,61090.2426417723,151.1722677230852,2.7725152818266157,2,r,4898.282,273.24442,25053.812,266.0179,2026021800352,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
