# t[days] ztfg ztfr ztfi 
0.500 -14.675 -15.232 -15.210 
1.000 -13.786 -14.671 -14.870 
1.500 -13.222 -14.189 -14.471 
2.000 -12.758 -13.768 -14.132 
2.500 -12.376 -13.415 -13.818 
3.000 -12.031 -13.106 -13.544 
3.500 -11.731 -12.829 -13.302 
4.000 -11.438 -12.584 -13.085 
4.500 -11.153 -12.354 -12.878 
5.000 -10.875 -12.123 -12.670 
5.500 -10.601 -11.908 -12.479 
6.000 -10.328 -11.693 -12.292 
6.500 -10.053 -11.480 -12.114 
7.000 -9.779 -11.279 -11.943 
7.500 -9.502 -11.079 -11.783 
8.000 -9.256 -10.887 -11.621 
8.500 -8.997 -10.684 -11.465 
9.000 -8.750 -10.490 -11.302 
9.500 -8.494 -10.302 -11.145 
10.000 -8.233 -10.119 -10.994 
10.500 -7.958 -9.923 -10.843 
11.000 -7.730 -9.722 -10.689 
11.500 -7.487 -9.551 -10.548 
12.000 -7.241 -9.376 -10.386 
12.500 -6.996 -9.190 -10.249 
13.000 -6.767 -8.999 -10.101 
13.500 -6.539 -8.834 -9.948 
14.000 -6.312 -8.646 -9.800 
14.500 -6.105 -8.481 -9.661 
15.000 -5.857 -8.294 -9.475 
