# t[days] ztfg ztfr ztfi 
0.500 -14.131 -14.585 -14.522 
1.000 -13.960 -14.641 -14.759 
1.500 -13.757 -14.446 -14.648 
2.000 -13.494 -14.209 -14.449 
2.500 -13.247 -13.983 -14.254 
3.000 -13.019 -13.771 -14.057 
3.500 -12.796 -13.576 -13.876 
4.000 -12.594 -13.391 -13.700 
4.500 -12.413 -13.235 -13.542 
5.000 -12.241 -13.081 -13.394 
5.500 -12.070 -12.940 -13.273 
6.000 -11.914 -12.803 -13.144 
6.500 -11.759 -12.693 -13.027 
7.000 -11.622 -12.567 -12.914 
7.500 -11.504 -12.459 -12.827 
8.000 -11.353 -12.350 -12.717 
8.500 -11.215 -12.241 -12.631 
9.000 -11.084 -12.145 -12.540 
9.500 -10.940 -12.044 -12.453 
10.000 -10.833 -11.948 -12.357 
10.500 -10.700 -11.853 -12.270 
11.000 -10.563 -11.757 -12.187 
11.500 -10.441 -11.664 -12.115 
12.000 -10.325 -11.568 -12.033 
12.500 -10.190 -11.474 -11.952 
13.000 -10.045 -11.379 -11.875 
13.500 -9.932 -11.285 -11.782 
14.000 -9.798 -11.181 -11.709 
14.500 -9.674 -11.076 -11.612 
15.000 -9.514 -10.956 -11.496 
