# t[days] ztfg ztfr ztfi 
0.500 -12.704 -13.344 -13.733 
1.000 -12.855 -13.473 -13.793 
1.500 -12.740 -13.334 -13.610 
2.000 -12.506 -13.088 -13.350 
2.500 -12.228 -12.829 -13.073 
3.000 -11.961 -12.581 -12.836 
3.500 -11.703 -12.350 -12.614 
4.000 -11.472 -12.149 -12.428 
4.500 -11.269 -11.973 -12.253 
5.000 -11.073 -11.806 -12.104 
5.500 -10.901 -11.656 -11.971 
6.000 -10.733 -11.517 -11.845 
6.500 -10.575 -11.392 -11.738 
7.000 -10.429 -11.273 -11.633 
7.500 -10.283 -11.160 -11.541 
8.000 -10.159 -11.052 -11.450 
8.500 -10.021 -10.959 -11.370 
9.000 -9.892 -10.859 -11.286 
9.500 -9.769 -10.766 -11.200 
10.000 -9.643 -10.672 -11.118 
10.500 -9.526 -10.574 -11.043 
11.000 -9.405 -10.482 -10.970 
11.500 -9.294 -10.395 -10.884 
12.000 -9.184 -10.305 -10.814 
12.500 -9.070 -10.218 -10.743 
13.000 -8.961 -10.137 -10.681 
13.500 -8.851 -10.057 -10.616 
14.000 -8.752 -9.979 -10.557 
14.500 -8.642 -9.886 -10.477 
15.000 -8.506 -9.764 -10.358 
