# t[days] ztfg ztfr ztfi 
0.500 -13.746 -14.431 -14.701 
1.000 -12.822 -13.694 -14.082 
1.500 -12.208 -13.135 -13.566 
2.000 -11.715 -12.674 -13.142 
2.500 -11.293 -12.299 -12.785 
3.000 -10.940 -11.987 -12.490 
3.500 -10.611 -11.701 -12.230 
4.000 -10.301 -11.442 -11.988 
4.500 -9.995 -11.193 -11.766 
5.000 -9.699 -10.960 -11.556 
5.500 -9.414 -10.738 -11.355 
6.000 -9.132 -10.507 -11.163 
6.500 -8.838 -10.317 -10.979 
7.000 -8.574 -10.095 -10.795 
7.500 -8.290 -9.875 -10.620 
8.000 -8.017 -9.676 -10.449 
8.500 -7.776 -9.473 -10.275 
9.000 -7.500 -9.266 -10.112 
9.500 -7.200 -9.078 -9.955 
10.000 -7.011 -8.881 -9.782 
10.500 -6.712 -8.686 -9.632 
11.000 -6.457 -8.500 -9.461 
11.500 -6.227 -8.298 -9.316 
12.000 -5.990 -8.131 -9.148 
12.500 -5.697 -7.932 -9.014 
13.000 -5.483 -7.731 -8.867 
13.500 -5.245 -7.563 -8.710 
14.000 -5.015 -7.402 -8.575 
14.500 -4.767 -7.228 -8.420 
15.000 -4.528 -7.010 -8.258 
