# t[days] ztfg ztfr ztfi 
0.500 -12.794 -13.604 -14.127 
1.000 -12.754 -13.538 -13.990 
1.500 -12.482 -13.285 -13.702 
2.000 -12.129 -12.968 -13.382 
2.500 -11.773 -12.662 -13.088 
3.000 -11.460 -12.388 -12.824 
3.500 -11.158 -12.144 -12.596 
4.000 -10.884 -11.911 -12.389 
4.500 -10.628 -11.703 -12.207 
5.000 -10.379 -11.509 -12.039 
5.500 -10.155 -11.332 -11.885 
6.000 -9.928 -11.159 -11.739 
6.500 -9.713 -10.987 -11.600 
7.000 -9.511 -10.826 -11.463 
7.500 -9.311 -10.684 -11.344 
8.000 -9.105 -10.536 -11.213 
8.500 -8.916 -10.393 -11.100 
9.000 -8.721 -10.247 -10.981 
9.500 -8.537 -10.101 -10.866 
10.000 -8.374 -9.965 -10.747 
10.500 -8.185 -9.836 -10.639 
11.000 -8.022 -9.703 -10.541 
11.500 -7.854 -9.570 -10.442 
12.000 -7.685 -9.462 -10.342 
12.500 -7.534 -9.345 -10.265 
13.000 -7.368 -9.228 -10.161 
13.500 -7.228 -9.115 -10.072 
14.000 -7.058 -9.000 -9.976 
14.500 -6.899 -8.879 -9.867 
15.000 -6.704 -8.711 -9.722 
