# t[days] ztfg ztfr ztfi 
0.500 -14.546 -15.062 -15.187 
1.000 -13.782 -14.742 -15.123 
1.500 -13.320 -14.443 -14.930 
2.000 -12.859 -14.098 -14.692 
2.500 -12.444 -13.773 -14.423 
3.000 -12.056 -13.460 -14.171 
3.500 -11.695 -13.159 -13.920 
4.000 -11.367 -12.881 -13.671 
4.500 -11.053 -12.620 -13.448 
5.000 -10.734 -12.364 -13.227 
5.500 -10.460 -12.124 -13.030 
6.000 -10.163 -11.882 -12.829 
6.500 -9.888 -11.668 -12.648 
7.000 -9.614 -11.443 -12.471 
7.500 -9.363 -11.225 -12.303 
8.000 -9.095 -11.022 -12.130 
8.500 -8.807 -10.828 -11.950 
9.000 -8.576 -10.620 -11.789 
9.500 -8.318 -10.416 -11.629 
10.000 -8.075 -10.225 -11.456 
10.500 -7.868 -10.035 -11.296 
11.000 -7.538 -9.846 -11.140 
11.500 -7.341 -9.665 -10.994 
12.000 -7.126 -9.476 -10.843 
12.500 -6.852 -9.297 -10.706 
13.000 -6.663 -9.140 -10.556 
13.500 -6.402 -8.969 -10.404 
14.000 -6.216 -8.772 -10.253 
14.500 -5.963 -8.612 -10.103 
15.000 -5.729 -8.389 -9.892 
