# t[days] ztfg ztfr ztfi 
0.500 -14.833 -15.052 -14.883 
1.000 -14.363 -14.903 -14.924 
1.500 -13.928 -14.587 -14.683 
2.000 -13.536 -14.263 -14.409 
2.500 -13.180 -13.960 -14.153 
3.000 -12.871 -13.697 -13.937 
3.500 -12.595 -13.470 -13.732 
4.000 -12.359 -13.259 -13.559 
4.500 -12.138 -13.071 -13.406 
5.000 -11.937 -12.897 -13.272 
5.500 -11.749 -12.743 -13.136 
6.000 -11.564 -12.591 -13.011 
6.500 -11.396 -12.449 -12.883 
7.000 -11.229 -12.306 -12.760 
7.500 -11.074 -12.170 -12.635 
8.000 -10.916 -12.042 -12.522 
8.500 -10.764 -11.908 -12.402 
9.000 -10.618 -11.791 -12.290 
9.500 -10.478 -11.667 -12.187 
10.000 -10.334 -11.554 -12.089 
10.500 -10.197 -11.446 -11.998 
11.000 -10.063 -11.336 -11.908 
11.500 -9.927 -11.236 -11.829 
12.000 -9.789 -11.128 -11.749 
12.500 -9.665 -11.026 -11.671 
13.000 -9.523 -10.941 -11.606 
13.500 -9.403 -10.837 -11.537 
14.000 -9.283 -10.742 -11.464 
14.500 -9.145 -10.656 -11.397 
15.000 -8.961 -10.482 -11.240 
