# t[days] ztfg ztfr ztfi 
0.500 -13.961 -14.993 -15.591 
1.000 -12.332 -13.787 -14.594 
1.500 -11.492 -13.178 -14.081 
2.000 -10.777 -12.580 -13.558 
2.500 -9.999 -11.996 -13.105 
3.000 -9.256 -11.442 -12.603 
3.500 -8.484 -10.886 -12.178 
4.000 -7.844 -10.319 -11.710 
4.500 -7.152 -9.795 -11.312 
5.000 -6.614 -9.394 -10.872 
5.500 -5.923 -8.885 -10.443 
6.000 -5.370 -8.497 -10.127 
6.500 -4.784 -7.934 -9.743 
7.000 -4.129 -7.528 -9.405 
7.500 -3.901 -7.154 -9.078 
8.000 -2.951 -6.822 -8.754 
8.500 -2.109 -6.313 -8.445 
9.000 -2.276 -6.087 -8.212 
9.500 -1.683 -5.758 -7.850 
10.000 0.064 -5.368 -7.544 
10.500 -1.207 -4.903 -7.268 
11.000 1.440 -4.802 -6.954 
11.500 -0.299 -4.570 -6.731 
12.000 nan -4.287 -6.496 
12.500 4.248 -3.586 -6.296 
13.000 1.882 -3.368 -6.056 
13.500 nan -3.158 -5.822 
14.000 nan -2.699 -5.483 
14.500 nan -2.390 -5.226 
15.000 2.332 -2.646 -4.962 
