# t[days] ztfg ztfr ztfi 
0.500 -12.890 -12.997 -12.750 
1.000 -13.400 -13.954 -14.118 
1.500 -13.568 -14.182 -14.455 
2.000 -13.590 -14.234 -14.570 
2.500 -13.521 -14.226 -14.608 
3.000 -13.427 -14.193 -14.582 
3.500 -13.314 -14.113 -14.550 
4.000 -13.184 -14.045 -14.488 
4.500 -13.055 -13.959 -14.406 
5.000 -12.942 -13.854 -14.336 
5.500 -12.781 -13.750 -14.244 
6.000 -12.648 -13.652 -14.156 
6.500 -12.507 -13.545 -14.071 
7.000 -12.383 -13.438 -13.973 
7.500 -12.255 -13.338 -13.886 
8.000 -12.124 -13.236 -13.801 
8.500 -11.979 -13.128 -13.708 
9.000 -11.849 -13.023 -13.617 
9.500 -11.743 -12.921 -13.531 
10.000 -11.609 -12.829 -13.457 
10.500 -11.498 -12.734 -13.365 
11.000 -11.379 -12.635 -13.281 
11.500 -11.267 -12.550 -13.209 
12.000 -11.158 -12.451 -13.130 
12.500 -11.041 -12.376 -13.061 
13.000 -10.925 -12.285 -12.977 
13.500 -10.807 -12.190 -12.898 
14.000 -10.702 -12.083 -12.812 
14.500 -10.559 -11.968 -12.721 
15.000 -10.391 -11.809 -12.582 
