# t[days] ztfg ztfr ztfi 
0.500 -12.851 -13.654 -14.241 
1.000 -12.899 -13.691 -14.202 
1.500 -12.709 -13.535 -14.020 
2.000 -12.445 -13.330 -13.801 
2.500 -12.161 -13.077 -13.564 
3.000 -11.879 -12.851 -13.344 
3.500 -11.601 -12.621 -13.127 
4.000 -11.358 -12.414 -12.934 
4.500 -11.132 -12.221 -12.761 
5.000 -10.912 -12.038 -12.588 
5.500 -10.696 -11.868 -12.435 
6.000 -10.498 -11.709 -12.303 
6.500 -10.313 -11.551 -12.160 
7.000 -10.131 -11.403 -12.028 
7.500 -9.942 -11.261 -11.900 
8.000 -9.772 -11.129 -11.793 
8.500 -9.603 -10.994 -11.676 
9.000 -9.438 -10.869 -11.568 
9.500 -9.274 -10.750 -11.464 
10.000 -9.120 -10.617 -11.350 
10.500 -8.953 -10.500 -11.248 
11.000 -8.809 -10.381 -11.152 
11.500 -8.665 -10.263 -11.063 
12.000 -8.517 -10.160 -10.965 
12.500 -8.367 -10.040 -10.865 
13.000 -8.225 -9.938 -10.767 
13.500 -8.062 -9.809 -10.676 
14.000 -7.925 -9.695 -10.578 
14.500 -7.769 -9.570 -10.483 
15.000 -7.596 -9.421 -10.336 
