# t[days] ztfg ztfr ztfi 
0.500 -13.419 -14.470 -15.107 
1.000 -11.695 -13.072 -13.885 
1.500 -10.904 -12.411 -13.226 
2.000 -10.112 -11.810 -12.665 
2.500 -9.342 -11.211 -12.130 
3.000 -8.549 -10.637 -11.634 
3.500 -7.757 -10.045 -11.124 
4.000 -7.060 -9.477 -10.660 
4.500 -6.381 -8.914 -10.212 
5.000 -5.651 -8.386 -9.798 
5.500 -4.974 -7.863 -9.363 
6.000 -4.388 -7.415 -8.980 
6.500 -3.727 -6.965 -8.603 
7.000 -3.136 -6.486 -8.257 
7.500 -2.674 -6.111 -7.876 
8.000 -2.023 -5.715 -7.577 
8.500 -1.463 -5.363 -7.220 
9.000 -0.852 -4.931 -6.956 
9.500 -0.561 -4.325 -6.637 
10.000 0.144 -4.054 -6.311 
10.500 0.295 -3.749 -6.100 
11.000 0.247 -3.500 -5.729 
11.500 nan -3.249 -5.469 
12.000 0.623 -2.979 -5.310 
12.500 5.951 -2.426 -4.959 
13.000 0.892 -2.193 -4.792 
13.500 nan -2.080 -4.449 
14.000 7.022 -1.245 -4.128 
14.500 6.712 -1.622 -3.983 
15.000 nan -1.267 -3.706 
