# t[days] ztfg ztfr ztfi 
0.500 -12.079 -12.690 -13.156 
1.000 -12.567 -13.218 -13.724 
1.500 -12.860 -13.526 -14.024 
2.000 -12.965 -13.677 -14.149 
2.500 -12.955 -13.716 -14.179 
3.000 -12.914 -13.695 -14.160 
3.500 -12.797 -13.641 -14.104 
4.000 -12.695 -13.550 -14.037 
4.500 -12.543 -13.456 -13.949 
5.000 -12.433 -13.350 -13.851 
5.500 -12.288 -13.250 -13.757 
6.000 -12.151 -13.147 -13.669 
6.500 -12.008 -13.039 -13.574 
7.000 -11.877 -12.936 -13.488 
7.500 -11.745 -12.820 -13.389 
8.000 -11.606 -12.737 -13.294 
8.500 -11.490 -12.642 -13.220 
9.000 -11.364 -12.538 -13.130 
9.500 -11.237 -12.442 -13.037 
10.000 -11.129 -12.345 -12.964 
10.500 -10.996 -12.245 -12.868 
11.000 -10.893 -12.156 -12.804 
11.500 -10.786 -12.067 -12.710 
12.000 -10.668 -11.979 -12.639 
12.500 -10.555 -11.890 -12.574 
13.000 -10.444 -11.809 -12.498 
13.500 -10.337 -11.718 -12.419 
14.000 -10.209 -11.627 -12.328 
14.500 -10.070 -11.507 -12.227 
15.000 -9.911 -11.341 -12.087 
