# t[days] ztfg ztfr ztfi 
0.500 -13.560 -13.300 -13.040 
1.000 -14.032 -14.353 -14.304 
1.500 -14.138 -14.631 -14.676 
2.000 -14.112 -14.683 -14.831 
2.500 -14.014 -14.670 -14.891 
3.000 -13.902 -14.624 -14.894 
3.500 -13.767 -14.558 -14.861 
4.000 -13.624 -14.473 -14.809 
4.500 -13.490 -14.382 -14.745 
5.000 -13.347 -14.285 -14.676 
5.500 -13.206 -14.195 -14.603 
6.000 -13.068 -14.087 -14.533 
6.500 -12.932 -13.985 -14.445 
7.000 -12.795 -13.882 -14.359 
7.500 -12.663 -13.783 -14.266 
8.000 -12.524 -13.680 -14.190 
8.500 -12.400 -13.587 -14.111 
9.000 -12.278 -13.489 -14.038 
9.500 -12.156 -13.394 -13.948 
10.000 -12.041 -13.292 -13.869 
10.500 -11.914 -13.196 -13.783 
11.000 -11.800 -13.102 -13.705 
11.500 -11.697 -13.017 -13.627 
12.000 -11.573 -12.929 -13.558 
12.500 -11.463 -12.839 -13.486 
13.000 -11.363 -12.764 -13.428 
13.500 -11.262 -12.676 -13.358 
14.000 -11.125 -12.586 -13.284 
14.500 -10.987 -12.473 -13.212 
15.000 -10.792 -12.279 -13.036 
