# t[days] ztfg ztfr ztfi 
0.500 -14.045 -14.479 -14.294 
1.000 -14.002 -14.714 -14.792 
1.500 -13.886 -14.601 -14.790 
2.000 -13.676 -14.415 -14.643 
2.500 -13.422 -14.186 -14.462 
3.000 -13.180 -13.987 -14.287 
3.500 -12.980 -13.795 -14.118 
4.000 -12.778 -13.623 -13.959 
4.500 -12.606 -13.455 -13.790 
5.000 -12.428 -13.311 -13.658 
5.500 -12.278 -13.177 -13.532 
6.000 -12.112 -13.038 -13.397 
6.500 -11.953 -12.925 -13.289 
7.000 -11.822 -12.806 -13.182 
7.500 -11.677 -12.689 -13.073 
8.000 -11.540 -12.567 -12.967 
8.500 -11.416 -12.468 -12.878 
9.000 -11.290 -12.370 -12.777 
9.500 -11.152 -12.271 -12.691 
10.000 -11.028 -12.170 -12.601 
10.500 -10.893 -12.076 -12.526 
11.000 -10.767 -11.988 -12.443 
11.500 -10.641 -11.883 -12.359 
12.000 -10.514 -11.794 -12.274 
12.500 -10.386 -11.701 -12.203 
13.000 -10.270 -11.600 -12.115 
13.500 -10.127 -11.492 -12.029 
14.000 -10.002 -11.401 -11.944 
14.500 -9.867 -11.293 -11.847 
15.000 -9.732 -11.179 -11.731 
