# t[days] ztfg ztfr ztfi 
0.500 -14.577 -15.611 -15.935 
1.000 -12.898 -14.469 -15.275 
1.500 -12.166 -13.789 -14.733 
2.000 -11.442 -13.169 -14.193 
2.500 -10.718 -12.572 -13.717 
3.000 -9.987 -12.005 -13.240 
3.500 -9.298 -11.435 -12.781 
4.000 -8.560 -10.895 -12.345 
4.500 -7.829 -10.396 -11.915 
5.000 -7.312 -9.894 -11.472 
5.500 -6.646 -9.428 -11.107 
6.000 -6.021 -8.921 -10.765 
6.500 -5.529 -8.517 -10.366 
7.000 -5.052 -8.036 -10.021 
7.500 -4.421 -7.692 -9.711 
8.000 -3.765 -7.339 -9.349 
8.500 -3.562 -6.883 -9.041 
9.000 -3.268 -6.638 -8.701 
9.500 -2.443 -6.212 -8.512 
10.000 -2.294 -5.888 -8.141 
10.500 -1.545 -5.423 -7.959 
11.000 0.739 -5.245 -7.657 
11.500 -0.099 -4.861 -7.360 
12.000 -0.896 -4.248 -7.111 
12.500 -1.381 -4.272 -6.789 
13.000 -0.074 -3.571 -6.525 
13.500 4.630 -3.711 -6.252 
14.000 0.176 -3.506 -6.056 
14.500 nan -3.226 -5.866 
15.000 4.835 -2.456 -5.667 
