# t[days] ztfg ztfr ztfi 
0.500 -15.036 -16.113 -16.326 
1.000 -13.514 -14.988 -15.459 
1.500 -12.859 -14.308 -14.801 
2.000 -12.206 -13.735 -14.248 
2.500 -11.479 -13.148 -13.741 
3.000 -10.741 -12.546 -13.240 
3.500 -9.936 -11.965 -12.738 
4.000 -9.208 -11.380 -12.248 
4.500 -8.504 -10.813 -11.796 
5.000 -7.873 -10.271 -11.349 
5.500 -7.110 -9.737 -10.912 
6.000 -6.567 -9.247 -10.515 
6.500 -6.004 -8.759 -10.128 
7.000 -5.325 -8.306 -9.753 
7.500 -4.930 -7.911 -9.410 
8.000 -4.211 -7.504 -9.046 
8.500 -3.740 -7.102 -8.778 
9.000 -3.192 -6.764 -8.429 
9.500 -2.858 -6.308 -8.121 
10.000 -2.762 -5.935 -7.774 
10.500 -1.663 -5.667 -7.539 
11.000 -0.814 -5.185 -7.126 
11.500 -1.316 -4.797 -6.922 
12.000 0.001 -4.604 -6.616 
12.500 -0.425 -3.906 -6.390 
13.000 -0.068 -3.928 -6.232 
13.500 -0.715 -3.580 -5.874 
14.000 1.190 -3.630 -5.584 
14.500 nan -2.492 -5.392 
15.000 3.210 -3.033 -5.063 
