# t[days] ztfg ztfr ztfi 
0.500 -12.348 -13.133 -13.761 
1.000 -12.827 -13.567 -14.067 
1.500 -12.994 -13.718 -14.176 
2.000 -12.966 -13.719 -14.142 
2.500 -12.871 -13.623 -14.048 
3.000 -12.730 -13.499 -13.920 
3.500 -12.559 -13.356 -13.787 
4.000 -12.376 -13.209 -13.644 
4.500 -12.191 -13.071 -13.505 
5.000 -12.003 -12.907 -13.367 
5.500 -11.835 -12.762 -13.228 
6.000 -11.662 -12.632 -13.111 
6.500 -11.488 -12.499 -12.978 
7.000 -11.334 -12.371 -12.868 
7.500 -11.174 -12.247 -12.760 
8.000 -11.029 -12.124 -12.653 
8.500 -10.881 -12.005 -12.554 
9.000 -10.747 -11.900 -12.448 
9.500 -10.591 -11.779 -12.357 
10.000 -10.464 -11.685 -12.273 
10.500 -10.331 -11.577 -12.186 
11.000 -10.212 -11.483 -12.099 
11.500 -10.088 -11.382 -12.022 
12.000 -9.955 -11.295 -11.944 
12.500 -9.826 -11.199 -11.860 
13.000 -9.713 -11.113 -11.787 
13.500 -9.597 -11.016 -11.712 
14.000 -9.471 -10.928 -11.638 
14.500 -9.324 -10.816 -11.549 
15.000 -9.186 -10.672 -11.419 
