# t[days] ztfg ztfr ztfi 
0.500 -14.708 -15.812 -16.140 
1.000 -13.130 -14.695 -15.428 
1.500 -12.410 -13.974 -14.790 
2.000 -11.725 -13.334 -14.220 
2.500 -11.027 -12.755 -13.684 
3.000 -10.286 -12.166 -13.167 
3.500 -9.503 -11.582 -12.688 
4.000 -8.893 -10.989 -12.205 
4.500 -8.092 -10.455 -11.790 
5.000 -7.599 -10.009 -11.366 
5.500 -6.831 -9.459 -10.941 
6.000 -6.326 -8.968 -10.542 
6.500 -5.670 -8.563 -10.191 
7.000 -5.038 -8.097 -9.834 
7.500 -4.417 -7.800 -9.501 
8.000 -3.815 -7.308 -9.138 
8.500 -3.552 -6.916 -8.911 
9.000 -2.673 -6.530 -8.542 
9.500 -3.147 -6.178 -8.216 
10.000 -1.473 -5.887 -7.958 
10.500 -1.671 -5.482 -7.580 
11.000 -1.294 -5.013 -7.287 
11.500 -1.677 -4.882 -7.098 
12.000 0.245 -4.412 -6.858 
12.500 nan -4.209 -6.602 
13.000 3.329 -3.859 -6.355 
13.500 nan -3.642 -6.277 
14.000 nan -3.507 -5.716 
14.500 1.570 -2.846 -5.570 
15.000 0.432 -2.887 -5.322 
