# t[days] ztfg ztfr ztfi 
0.500 -12.982 -13.625 -14.119 
1.000 -13.027 -13.671 -14.161 
1.500 -13.007 -13.735 -14.206 
2.000 -12.863 -13.662 -14.139 
2.500 -12.650 -13.525 -14.014 
3.000 -12.449 -13.368 -13.882 
3.500 -12.215 -13.209 -13.741 
4.000 -12.033 -13.040 -13.586 
4.500 -11.839 -12.883 -13.444 
5.000 -11.634 -12.740 -13.305 
5.500 -11.481 -12.599 -13.166 
6.000 -11.311 -12.470 -13.045 
6.500 -11.163 -12.325 -12.934 
7.000 -10.991 -12.210 -12.811 
7.500 -10.847 -12.085 -12.692 
8.000 -10.700 -11.966 -12.596 
8.500 -10.560 -11.860 -12.485 
9.000 -10.414 -11.740 -12.396 
9.500 -10.280 -11.644 -12.310 
10.000 -10.128 -11.528 -12.193 
10.500 -10.025 -11.430 -12.112 
11.000 -9.875 -11.322 -12.021 
11.500 -9.741 -11.220 -11.928 
12.000 -9.621 -11.127 -11.838 
12.500 -9.474 -11.020 -11.763 
13.000 -9.345 -10.918 -11.671 
13.500 -9.216 -10.818 -11.583 
14.000 -9.085 -10.716 -11.479 
14.500 -8.954 -10.589 -11.375 
15.000 -8.767 -10.464 -11.243 
