# t[days] ztfg ztfr ztfi 
0.500 -14.991 -16.016 -16.237 
1.000 -13.305 -14.804 -15.520 
1.500 -12.559 -14.037 -14.882 
2.000 -11.864 -13.404 -14.314 
2.500 -11.156 -12.810 -13.791 
3.000 -10.391 -12.236 -13.275 
3.500 -9.680 -11.658 -12.803 
4.000 -8.894 -11.081 -12.317 
4.500 -8.214 -10.539 -11.868 
5.000 -7.571 -10.043 -11.440 
5.500 -6.887 -9.525 -11.049 
6.000 -6.320 -9.058 -10.661 
6.500 -5.657 -8.573 -10.253 
7.000 -5.018 -8.114 -9.905 
7.500 -4.732 -7.721 -9.540 
8.000 -4.187 -7.366 -9.259 
8.500 -3.611 -6.991 -8.951 
9.000 -2.896 -6.621 -8.622 
9.500 -2.677 -6.240 -8.348 
10.000 -2.104 -5.904 -7.976 
10.500 -1.108 -5.616 -7.776 
11.000 -0.596 -5.169 -7.449 
11.500 -1.296 -4.866 -7.150 
12.000 -1.058 -4.420 -6.858 
12.500 0.249 -4.081 -6.693 
13.000 -0.181 -3.790 -6.293 
13.500 -0.370 -3.857 -6.247 
14.000 0.916 -2.933 -6.026 
14.500 0.407 -2.684 -5.529 
15.000 2.323 -2.640 -5.282 
