# t[days] ztfg ztfr ztfi 
0.500 -13.683 -13.645 -13.541 
1.000 -13.931 -14.304 -14.362 
1.500 -13.985 -14.519 -14.655 
2.000 -13.918 -14.537 -14.744 
2.500 -13.822 -14.511 -14.762 
3.000 -13.692 -14.440 -14.728 
3.500 -13.549 -14.350 -14.669 
4.000 -13.389 -14.252 -14.590 
4.500 -13.251 -14.135 -14.507 
5.000 -13.097 -14.031 -14.413 
5.500 -12.946 -13.911 -14.326 
6.000 -12.791 -13.806 -14.238 
6.500 -12.648 -13.692 -14.136 
7.000 -12.501 -13.570 -14.034 
7.500 -12.363 -13.462 -13.956 
8.000 -12.237 -13.360 -13.863 
8.500 -12.095 -13.261 -13.773 
9.000 -11.971 -13.158 -13.686 
9.500 -11.830 -13.048 -13.594 
10.000 -11.717 -12.951 -13.508 
10.500 -11.591 -12.851 -13.425 
11.000 -11.475 -12.749 -13.333 
11.500 -11.372 -12.657 -13.267 
12.000 -11.245 -12.565 -13.199 
12.500 -11.148 -12.485 -13.128 
13.000 -11.033 -12.410 -13.059 
13.500 -10.929 -12.328 -13.000 
14.000 -10.825 -12.241 -12.929 
14.500 -10.677 -12.142 -12.855 
15.000 -10.501 -11.961 -12.693 
