# t[days] ztfg ztfr ztfi 
0.500 -14.760 -15.795 -15.966 
1.000 -13.268 -14.563 -14.860 
1.500 -12.583 -13.885 -14.199 
2.000 -11.891 -13.306 -13.688 
2.500 -11.151 -12.720 -13.202 
3.000 -10.348 -12.126 -12.711 
3.500 -9.547 -11.517 -12.212 
4.000 -8.812 -10.906 -11.740 
4.500 -8.015 -10.326 -11.271 
5.000 -7.300 -9.802 -10.798 
5.500 -6.708 -9.262 -10.392 
6.000 -6.116 -8.788 -9.973 
6.500 -5.531 -8.296 -9.563 
7.000 -4.791 -7.843 -9.179 
7.500 -4.358 -7.407 -8.844 
8.000 -3.785 -7.024 -8.545 
8.500 -3.372 -6.648 -8.137 
9.000 -2.747 -6.332 -7.832 
9.500 -2.519 -5.780 -7.474 
10.000 -1.814 -5.562 -7.134 
10.500 -1.005 -5.014 -6.894 
11.000 -0.700 -4.736 -6.675 
11.500 -0.126 -4.448 -6.310 
12.000 0.469 -4.046 -5.978 
12.500 -0.101 -3.633 -5.770 
13.000 1.017 -3.491 -5.439 
13.500 nan -3.186 -5.274 
14.000 nan -2.833 -5.064 
14.500 1.322 -2.544 -4.772 
15.000 nan -2.292 -4.590 
