# t[days] ztfg ztfr ztfi 
0.500 -14.132 -14.406 -13.972 
1.000 -14.297 -14.759 -14.457 
1.500 -14.238 -14.629 -14.328 
2.000 -14.050 -14.397 -14.117 
2.500 -13.840 -14.170 -13.914 
3.000 -13.631 -13.943 -13.702 
3.500 -13.444 -13.762 -13.541 
4.000 -13.268 -13.592 -13.391 
4.500 -13.114 -13.447 -13.279 
5.000 -12.979 -13.322 -13.153 
5.500 -12.851 -13.219 -13.057 
6.000 -12.729 -13.123 -12.977 
6.500 -12.622 -13.031 -12.901 
7.000 -12.518 -12.948 -12.827 
7.500 -12.421 -12.876 -12.770 
8.000 -12.328 -12.804 -12.707 
8.500 -12.242 -12.735 -12.644 
9.000 -12.149 -12.678 -12.603 
9.500 -12.066 -12.615 -12.542 
10.000 -11.983 -12.548 -12.504 
10.500 -11.901 -12.501 -12.453 
11.000 -11.819 -12.437 -12.412 
11.500 -11.742 -12.385 -12.373 
12.000 -11.659 -12.335 -12.332 
12.500 -11.578 -12.278 -12.290 
13.000 -11.505 -12.232 -12.247 
13.500 -11.427 -12.174 -12.206 
14.000 -11.343 -12.109 -12.162 
14.500 -11.259 -12.051 -12.104 
15.000 -11.156 -11.965 -12.020 
