# t[days] ztfg ztfr ztfi 
0.500 -15.065 -16.150 -16.420 
1.000 -13.541 -15.189 -15.884 
1.500 -12.863 -14.507 -15.269 
2.000 -12.232 -13.903 -14.712 
2.500 -11.563 -13.329 -14.213 
3.000 -10.864 -12.762 -13.702 
3.500 -10.137 -12.203 -13.228 
4.000 -9.403 -11.616 -12.762 
4.500 -8.702 -11.070 -12.305 
5.000 -8.010 -10.545 -11.866 
5.500 -7.447 -10.051 -11.461 
6.000 -6.650 -9.610 -11.095 
6.500 -6.268 -9.124 -10.719 
7.000 -5.844 -8.653 -10.370 
7.500 -5.204 -8.282 -10.030 
8.000 -4.790 -7.859 -9.728 
8.500 -4.271 -7.584 -9.385 
9.000 -3.234 -7.232 -9.090 
9.500 -3.079 -6.832 -8.773 
10.000 -3.101 -6.424 -8.483 
10.500 -2.349 -6.071 -8.182 
11.000 -1.374 -5.503 -7.876 
11.500 -0.527 -5.393 -7.648 
12.000 -1.758 -4.986 -7.310 
12.500 -1.645 -4.744 -7.142 
13.000 0.206 -4.477 -6.722 
13.500 4.736 -4.275 -6.580 
14.000 nan -4.017 -6.336 
14.500 nan -3.716 -5.990 
15.000 0.017 -2.788 -5.770 
