# t[days] ztfg ztfr ztfi 
0.500 -13.509 -13.938 -13.898 
1.000 -13.578 -13.993 -14.046 
1.500 -13.510 -13.915 -14.019 
2.000 -13.334 -13.773 -13.948 
2.500 -13.153 -13.599 -13.776 
3.000 -12.963 -13.430 -13.638 
3.500 -12.779 -13.290 -13.473 
4.000 -12.605 -13.128 -13.340 
4.500 -12.454 -12.990 -13.207 
5.000 -12.312 -12.864 -13.071 
5.500 -12.173 -12.765 -12.960 
6.000 -12.066 -12.649 -12.853 
6.500 -11.943 -12.550 -12.759 
7.000 -11.839 -12.448 -12.666 
7.500 -11.735 -12.370 -12.575 
8.000 -11.634 -12.283 -12.507 
8.500 -11.540 -12.199 -12.431 
9.000 -11.445 -12.135 -12.358 
9.500 -11.362 -12.064 -12.292 
10.000 -11.267 -11.994 -12.223 
10.500 -11.181 -11.925 -12.160 
11.000 -11.109 -11.864 -12.110 
11.500 -11.014 -11.799 -12.046 
12.000 -10.937 -11.737 -11.997 
12.500 -10.854 -11.679 -11.942 
13.000 -10.770 -11.618 -11.881 
13.500 -10.691 -11.558 -11.832 
14.000 -10.610 -11.487 -11.769 
14.500 -10.517 -11.412 -11.685 
15.000 -10.399 -11.314 -11.589 
