# t[days] ztfg ztfr ztfi 
0.500 -13.954 -14.099 -13.857 
1.000 -14.122 -14.610 -14.600 
1.500 -14.112 -14.702 -14.780 
2.000 -14.000 -14.655 -14.812 
2.500 -13.836 -14.553 -14.754 
3.000 -13.674 -14.427 -14.671 
3.500 -13.510 -14.299 -14.566 
4.000 -13.341 -14.161 -14.452 
4.500 -13.173 -14.032 -14.352 
5.000 -13.008 -13.885 -14.232 
5.500 -12.848 -13.765 -14.116 
6.000 -12.701 -13.631 -14.007 
6.500 -12.557 -13.510 -13.905 
7.000 -12.407 -13.388 -13.804 
7.500 -12.275 -13.280 -13.706 
8.000 -12.149 -13.170 -13.611 
8.500 -12.028 -13.064 -13.518 
9.000 -11.896 -12.952 -13.423 
9.500 -11.775 -12.855 -13.338 
10.000 -11.653 -12.758 -13.241 
10.500 -11.549 -12.663 -13.163 
11.000 -11.445 -12.571 -13.085 
11.500 -11.341 -12.480 -13.007 
12.000 -11.241 -12.395 -12.930 
12.500 -11.134 -12.310 -12.867 
13.000 -11.030 -12.232 -12.785 
13.500 -10.930 -12.157 -12.723 
14.000 -10.832 -12.067 -12.659 
14.500 -10.711 -11.970 -12.572 
15.000 -10.555 -11.808 -12.425 
