# t[days] ztfg ztfr ztfi 
0.500 -13.378 -14.234 -14.840 
1.000 -12.873 -13.909 -14.593 
1.500 -12.515 -13.687 -14.379 
2.000 -12.084 -13.384 -14.125 
2.500 -11.696 -13.083 -13.863 
3.000 -11.300 -12.783 -13.600 
3.500 -10.944 -12.495 -13.337 
4.000 -10.608 -12.229 -13.104 
4.500 -10.283 -11.986 -12.882 
5.000 -9.958 -11.731 -12.668 
5.500 -9.663 -11.491 -12.453 
6.000 -9.370 -11.248 -12.252 
6.500 -9.106 -11.033 -12.053 
7.000 -8.791 -10.822 -11.878 
7.500 -8.555 -10.596 -11.685 
8.000 -8.273 -10.387 -11.527 
8.500 -7.966 -10.192 -11.351 
9.000 -7.729 -9.986 -11.195 
9.500 -7.494 -9.801 -11.015 
10.000 -7.253 -9.606 -10.859 
10.500 -7.004 -9.425 -10.705 
11.000 -6.774 -9.208 -10.538 
11.500 -6.462 -9.048 -10.396 
12.000 -6.273 -8.869 -10.245 
12.500 -6.067 -8.701 -10.099 
13.000 -5.810 -8.544 -9.958 
13.500 -5.542 -8.346 -9.813 
14.000 -5.366 -8.167 -9.657 
14.500 -5.123 -7.969 -9.504 
15.000 -4.847 -7.788 -9.323 
