# t[days] ztfg ztfr ztfi 
0.500 -13.358 -14.080 -14.542 
1.000 -13.054 -14.029 -14.658 
1.500 -12.845 -13.989 -14.701 
2.000 -12.537 -13.824 -14.604 
2.500 -12.186 -13.631 -14.448 
3.000 -11.837 -13.373 -14.261 
3.500 -11.475 -13.113 -14.069 
4.000 -11.135 -12.872 -13.872 
4.500 -10.819 -12.625 -13.665 
5.000 -10.511 -12.393 -13.468 
5.500 -10.194 -12.170 -13.287 
6.000 -9.871 -11.922 -13.092 
6.500 -9.553 -11.725 -12.899 
7.000 -9.349 -11.510 -12.710 
7.500 -9.015 -11.276 -12.540 
8.000 -8.757 -11.070 -12.371 
8.500 -8.462 -10.848 -12.199 
9.000 -8.281 -10.670 -12.042 
9.500 -7.953 -10.490 -11.868 
10.000 -7.719 -10.290 -11.718 
10.500 -7.507 -10.050 -11.544 
11.000 -7.236 -9.888 -11.413 
11.500 -7.044 -9.747 -11.267 
12.000 -6.753 -9.524 -11.107 
12.500 -6.513 -9.374 -10.983 
13.000 -6.392 -9.222 -10.843 
13.500 -6.159 -9.016 -10.665 
14.000 -5.859 -8.869 -10.525 
14.500 -5.604 -8.615 -10.362 
15.000 -5.297 -8.412 -10.139 
