# t[days] ztfg ztfr ztfi 
0.500 -12.475 -13.188 -13.773 
1.000 -12.810 -13.534 -14.037 
1.500 -12.964 -13.659 -14.108 
2.000 -12.923 -13.627 -14.054 
2.500 -12.817 -13.525 -13.927 
3.000 -12.641 -13.399 -13.798 
3.500 -12.454 -13.241 -13.643 
4.000 -12.275 -13.099 -13.491 
4.500 -12.099 -12.947 -13.353 
5.000 -11.918 -12.801 -13.214 
5.500 -11.754 -12.647 -13.081 
6.000 -11.591 -12.504 -12.948 
6.500 -11.425 -12.373 -12.825 
7.000 -11.287 -12.259 -12.721 
7.500 -11.139 -12.131 -12.608 
8.000 -11.000 -12.019 -12.503 
8.500 -10.869 -11.912 -12.409 
9.000 -10.728 -11.805 -12.308 
9.500 -10.616 -11.700 -12.220 
10.000 -10.485 -11.600 -12.139 
10.500 -10.371 -11.510 -12.061 
11.000 -10.254 -11.417 -11.987 
11.500 -10.141 -11.336 -11.909 
12.000 -10.029 -11.247 -11.834 
12.500 -9.918 -11.163 -11.766 
13.000 -9.816 -11.071 -11.693 
13.500 -9.712 -10.992 -11.622 
14.000 -9.604 -10.912 -11.547 
14.500 -9.479 -10.806 -11.460 
15.000 -9.334 -10.679 -11.341 
