# t[days] ztfg ztfr ztfi 
0.500 -14.557 -15.417 -15.560 
1.000 -12.708 -13.926 -14.452 
1.500 -11.859 -13.072 -13.675 
2.000 -11.096 -12.391 -13.054 
2.500 -10.312 -11.774 -12.504 
3.000 -9.494 -11.156 -11.990 
3.500 -8.728 -10.547 -11.504 
4.000 -7.926 -9.968 -11.042 
4.500 -7.203 -9.397 -10.573 
5.000 -6.536 -8.847 -10.150 
5.500 -5.834 -8.315 -9.692 
6.000 -5.255 -7.828 -9.292 
6.500 -4.633 -7.360 -8.904 
7.000 -4.054 -6.942 -8.544 
7.500 -3.215 -6.500 -8.197 
8.000 -2.978 -6.019 -7.839 
8.500 -2.113 -5.697 -7.524 
9.000 -1.756 -5.312 -7.210 
9.500 -1.444 -4.920 -6.828 
10.000 -1.066 -4.484 -6.542 
10.500 -0.659 -4.099 -6.287 
11.000 0.402 -3.753 -5.951 
11.500 0.499 -3.437 -5.712 
12.000 1.419 -3.137 -5.483 
12.500 6.224 -2.754 -5.108 
13.000 1.346 -2.626 -4.920 
13.500 2.406 -2.160 -4.584 
14.000 2.442 -1.837 -4.196 
14.500 9.504 -1.713 -4.135 
15.000 2.631 -1.050 -3.716 
