# t[days] ztfg ztfr ztfi 
0.500 -14.192 -14.930 -15.024 
1.000 -13.674 -14.474 -14.693 
1.500 -13.320 -14.151 -14.452 
2.000 -12.963 -13.874 -14.224 
2.500 -12.625 -13.595 -13.982 
3.000 -12.332 -13.358 -13.771 
3.500 -12.053 -13.149 -13.586 
4.000 -11.793 -12.961 -13.418 
4.500 -11.544 -12.768 -13.244 
5.000 -11.294 -12.582 -13.082 
5.500 -11.035 -12.404 -12.933 
6.000 -10.796 -12.210 -12.779 
6.500 -10.566 -12.043 -12.622 
7.000 -10.324 -11.851 -12.480 
7.500 -10.061 -11.666 -12.331 
8.000 -9.828 -11.488 -12.174 
8.500 -9.595 -11.315 -12.038 
9.000 -9.313 -11.129 -11.884 
9.500 -9.065 -10.936 -11.727 
10.000 -8.883 -10.753 -11.585 
10.500 -8.619 -10.594 -11.433 
11.000 -8.366 -10.394 -11.296 
11.500 -8.144 -10.231 -11.146 
12.000 -7.857 -10.066 -11.000 
12.500 -7.697 -9.888 -10.866 
13.000 -7.415 -9.692 -10.728 
13.500 -7.252 -9.549 -10.588 
14.000 -7.012 -9.366 -10.427 
14.500 -6.874 -9.190 -10.265 
15.000 -6.474 -9.024 -10.121 
