# t[days] ztfg ztfr ztfi 
0.500 -15.204 -16.321 -16.572 
1.000 -13.694 -15.283 -15.800 
1.500 -13.068 -14.616 -15.109 
2.000 -12.470 -14.046 -14.571 
2.500 -11.775 -13.491 -14.054 
3.000 -10.995 -12.881 -13.563 
3.500 -10.284 -12.300 -13.059 
4.000 -9.580 -11.727 -12.566 
4.500 -8.868 -11.143 -12.105 
5.000 -8.174 -10.619 -11.668 
5.500 -7.638 -10.126 -11.236 
6.000 -6.868 -9.612 -10.847 
6.500 -6.379 -9.170 -10.457 
7.000 -5.928 -8.737 -10.074 
7.500 -5.273 -8.333 -9.712 
8.000 -4.458 -7.881 -9.412 
8.500 -4.320 -7.466 -9.028 
9.000 -3.580 -7.112 -8.707 
9.500 -3.577 -6.732 -8.453 
10.000 -3.227 -6.442 -8.101 
10.500 -2.460 -5.981 -7.888 
11.000 -2.154 -5.691 -7.580 
11.500 -1.053 -5.446 -7.333 
12.000 -1.411 -5.069 -6.920 
12.500 -0.742 -4.842 -6.703 
13.000 -1.070 -4.388 -6.463 
13.500 -0.590 -4.308 -6.221 
14.000 1.270 -3.681 -5.935 
14.500 0.527 -3.354 -5.878 
15.000 4.861 -2.503 -5.452 
