# t[days] ztfg ztfr ztfi 
0.500 -15.213 -16.274 -16.516 
1.000 -13.664 -15.284 -15.977 
1.500 -12.976 -14.583 -15.359 
2.000 -12.343 -13.980 -14.792 
2.500 -11.670 -13.396 -14.293 
3.000 -10.960 -12.826 -13.781 
3.500 -10.247 -12.272 -13.305 
4.000 -9.505 -11.688 -12.838 
4.500 -8.817 -11.139 -12.391 
5.000 -8.133 -10.617 -11.942 
5.500 -7.548 -10.116 -11.550 
6.000 -6.786 -9.699 -11.181 
6.500 -6.425 -9.195 -10.817 
7.000 -5.935 -8.730 -10.445 
7.500 -5.379 -8.360 -10.136 
8.000 -4.867 -7.956 -9.809 
8.500 -4.376 -7.671 -9.488 
9.000 -3.239 -7.321 -9.179 
9.500 -3.273 -6.892 -8.881 
10.000 -3.105 -6.493 -8.606 
10.500 -2.442 -6.148 -8.272 
11.000 -1.420 -5.649 -7.982 
11.500 -0.494 -5.466 -7.733 
12.000 -1.994 -5.049 -7.430 
12.500 -1.600 -4.774 -7.202 
13.000 0.303 -4.553 -6.885 
13.500 5.691 -4.382 -6.734 
14.000 nan -3.978 -6.452 
14.500 nan -3.802 -6.060 
15.000 0.027 -2.947 -5.922 
