# t[days] ztfg ztfr ztfi 
0.500 -14.311 -14.337 -14.016 
1.000 -13.956 -14.176 -13.934 
1.500 -13.515 -13.800 -13.591 
2.000 -13.123 -13.442 -13.266 
2.500 -12.806 -13.174 -13.024 
3.000 -12.544 -12.946 -12.832 
3.500 -12.327 -12.756 -12.670 
4.000 -12.141 -12.592 -12.529 
4.500 -11.966 -12.441 -12.396 
5.000 -11.810 -12.297 -12.275 
5.500 -11.667 -12.172 -12.182 
6.000 -11.530 -12.068 -12.115 
6.500 -11.409 -11.978 -12.064 
7.000 -11.293 -11.890 -11.996 
7.500 -11.185 -11.805 -11.923 
8.000 -11.071 -11.712 -11.842 
8.500 -10.968 -11.629 -11.769 
9.000 -10.866 -11.537 -11.699 
9.500 -10.761 -11.460 -11.634 
10.000 -10.669 -11.386 -11.574 
10.500 -10.571 -11.318 -11.528 
11.000 -10.488 -11.253 -11.487 
11.500 -10.392 -11.193 -11.456 
12.000 -10.313 -11.133 -11.419 
12.500 -10.226 -11.074 -11.388 
13.000 -10.145 -11.019 -11.348 
13.500 -10.055 -10.958 -11.310 
14.000 -9.982 -10.900 -11.264 
14.500 -9.891 -10.840 -11.211 
15.000 -9.744 -10.685 -11.054 
