# t[days] ztfg ztfr ztfi 
0.500 -15.132 -15.341 -14.947 
1.000 -14.927 -15.584 -15.502 
1.500 -14.654 -15.413 -15.464 
2.000 -14.343 -15.147 -15.280 
2.500 -14.045 -14.885 -15.075 
3.000 -13.777 -14.643 -14.879 
3.500 -13.528 -14.432 -14.698 
4.000 -13.324 -14.233 -14.539 
4.500 -13.124 -14.057 -14.390 
5.000 -12.945 -13.894 -14.242 
5.500 -12.775 -13.745 -14.111 
6.000 -12.610 -13.600 -13.984 
6.500 -12.456 -13.464 -13.857 
7.000 -12.304 -13.330 -13.746 
7.500 -12.161 -13.206 -13.627 
8.000 -12.021 -13.092 -13.521 
8.500 -11.886 -12.973 -13.413 
9.000 -11.744 -12.858 -13.325 
9.500 -11.615 -12.759 -13.231 
10.000 -11.484 -12.647 -13.139 
10.500 -11.356 -12.549 -13.045 
11.000 -11.232 -12.442 -12.957 
11.500 -11.090 -12.352 -12.873 
12.000 -10.963 -12.254 -12.796 
12.500 -10.840 -12.152 -12.712 
13.000 -10.720 -12.053 -12.633 
13.500 -10.592 -11.963 -12.562 
14.000 -10.470 -11.873 -12.478 
14.500 -10.336 -11.774 -12.403 
15.000 -10.171 -11.594 -12.240 
