# t[days] ztfg ztfr ztfi 
0.500 -14.319 -14.533 -14.154 
1.000 -14.256 -14.613 -14.282 
1.500 -14.070 -14.422 -14.185 
2.000 -13.821 -14.177 -14.003 
2.500 -13.556 -13.943 -13.804 
3.000 -13.340 -13.735 -13.619 
3.500 -13.141 -13.549 -13.456 
4.000 -12.969 -13.390 -13.313 
4.500 -12.810 -13.252 -13.191 
5.000 -12.675 -13.132 -13.088 
5.500 -12.546 -13.016 -12.977 
6.000 -12.424 -12.911 -12.895 
6.500 -12.319 -12.815 -12.805 
7.000 -12.213 -12.728 -12.728 
7.500 -12.108 -12.648 -12.653 
8.000 -12.017 -12.568 -12.579 
8.500 -11.923 -12.493 -12.507 
9.000 -11.830 -12.423 -12.449 
9.500 -11.747 -12.347 -12.388 
10.000 -11.654 -12.289 -12.335 
10.500 -11.573 -12.224 -12.281 
11.000 -11.489 -12.166 -12.235 
11.500 -11.405 -12.105 -12.183 
12.000 -11.327 -12.049 -12.136 
12.500 -11.249 -11.995 -12.089 
13.000 -11.160 -11.931 -12.030 
13.500 -11.086 -11.873 -11.984 
14.000 -11.006 -11.813 -11.944 
14.500 -10.917 -11.751 -11.880 
15.000 -10.804 -11.643 -11.769 
