# t[days] ztfg ztfr ztfi 
0.500 -14.815 -15.833 -16.106 
1.000 -13.106 -14.571 -15.273 
1.500 -12.323 -13.760 -14.580 
2.000 -11.603 -13.107 -13.986 
2.500 -10.856 -12.483 -13.434 
3.000 -10.084 -11.891 -12.920 
3.500 -9.358 -11.294 -12.426 
4.000 -8.613 -10.709 -11.955 
4.500 -7.930 -10.197 -11.500 
5.000 -7.129 -9.647 -11.058 
5.500 -6.583 -9.146 -10.650 
6.000 -5.897 -8.705 -10.256 
6.500 -5.334 -8.231 -9.899 
7.000 -4.904 -7.802 -9.558 
7.500 -4.436 -7.367 -9.156 
8.000 -3.788 -6.995 -8.856 
8.500 -3.440 -6.531 -8.540 
9.000 -2.966 -6.081 -8.209 
9.500 -2.005 -5.822 -7.905 
10.000 -1.912 -5.472 -7.632 
10.500 -1.236 -5.082 -7.376 
11.000 -1.624 -4.733 -6.985 
11.500 -0.215 -4.400 -6.700 
12.000 -0.056 -4.197 -6.528 
12.500 -0.035 -4.101 -6.261 
13.000 nan -3.374 -6.032 
13.500 -0.229 -3.267 -5.669 
14.000 0.760 -2.977 -5.387 
14.500 0.889 -2.857 -5.308 
15.000 8.014 -1.834 -5.046 
