# t[days] ztfg ztfr ztfi 
0.500 -13.941 -14.453 -14.534 
1.000 -13.779 -14.514 -14.789 
1.500 -13.586 -14.376 -14.733 
2.000 -13.349 -14.169 -14.575 
2.500 -13.087 -13.962 -14.413 
3.000 -12.835 -13.755 -14.214 
3.500 -12.602 -13.555 -14.032 
4.000 -12.379 -13.351 -13.848 
4.500 -12.154 -13.175 -13.685 
5.000 -11.961 -13.000 -13.528 
5.500 -11.767 -12.832 -13.380 
6.000 -11.586 -12.684 -13.236 
6.500 -11.410 -12.529 -13.104 
7.000 -11.238 -12.382 -12.974 
7.500 -11.074 -12.253 -12.844 
8.000 -10.907 -12.123 -12.732 
8.500 -10.767 -11.993 -12.617 
9.000 -10.618 -11.875 -12.509 
9.500 -10.483 -11.759 -12.406 
10.000 -10.339 -11.635 -12.294 
10.500 -10.205 -11.529 -12.194 
11.000 -10.060 -11.419 -12.097 
11.500 -9.927 -11.309 -12.009 
12.000 -9.788 -11.200 -11.909 
12.500 -9.658 -11.099 -11.817 
13.000 -9.513 -10.990 -11.728 
13.500 -9.369 -10.886 -11.642 
14.000 -9.247 -10.786 -11.547 
14.500 -9.126 -10.662 -11.438 
15.000 -8.957 -10.531 -11.307 
