# t[days] ztfg ztfr ztfi 
0.500 -12.804 -13.495 -14.058 
1.000 -12.983 -13.724 -14.263 
1.500 -12.996 -13.835 -14.383 
2.000 -12.883 -13.813 -14.358 
2.500 -12.710 -13.700 -14.274 
3.000 -12.526 -13.563 -14.155 
3.500 -12.301 -13.406 -14.023 
4.000 -12.090 -13.245 -13.886 
4.500 -11.873 -13.091 -13.747 
5.000 -11.676 -12.929 -13.607 
5.500 -11.468 -12.763 -13.466 
6.000 -11.279 -12.625 -13.342 
6.500 -11.104 -12.477 -13.209 
7.000 -10.924 -12.335 -13.079 
7.500 -10.732 -12.195 -12.954 
8.000 -10.565 -12.061 -12.835 
8.500 -10.414 -11.929 -12.706 
9.000 -10.234 -11.804 -12.597 
9.500 -10.073 -11.664 -12.488 
10.000 -9.921 -11.544 -12.379 
10.500 -9.762 -11.417 -12.276 
11.000 -9.611 -11.298 -12.182 
11.500 -9.455 -11.186 -12.078 
12.000 -9.323 -11.074 -11.986 
12.500 -9.178 -10.959 -11.890 
13.000 -9.032 -10.848 -11.804 
13.500 -8.911 -10.732 -11.707 
14.000 -8.747 -10.611 -11.599 
14.500 -8.580 -10.479 -11.477 
15.000 -8.401 -10.319 -11.331 
