# t[days] ztfg ztfr ztfi 
0.500 -15.100 -16.128 -16.344 
1.000 -13.437 -14.979 -15.702 
1.500 -12.707 -14.240 -15.093 
2.000 -12.032 -13.604 -14.543 
2.500 -11.331 -13.039 -14.025 
3.000 -10.614 -12.462 -13.520 
3.500 -9.834 -11.869 -13.048 
4.000 -9.208 -11.306 -12.569 
4.500 -8.469 -10.782 -12.153 
5.000 -7.905 -10.312 -11.741 
5.500 -7.232 -9.799 -11.308 
6.000 -6.645 -9.307 -10.927 
6.500 -6.000 -8.894 -10.565 
7.000 -5.432 -8.423 -10.203 
7.500 -4.758 -8.080 -9.841 
8.000 -4.260 -7.622 -9.565 
8.500 -3.983 -7.269 -9.284 
9.000 -3.246 -6.869 -8.921 
9.500 -3.576 -6.512 -8.606 
10.000 -2.263 -6.154 -8.291 
10.500 -1.974 -5.705 -8.013 
11.000 -1.689 -5.267 -7.670 
11.500 -2.049 -5.184 -7.481 
12.000 -0.196 -4.808 -7.189 
12.500 nan -4.649 -6.953 
13.000 nan -4.294 -6.708 
13.500 1.579 -3.944 -6.561 
14.000 nan -3.767 -6.122 
14.500 0.061 -2.961 -5.939 
15.000 0.347 -3.278 -5.632 
