# t[days] ztfg ztfr ztfi 
0.500 -13.261 -14.079 -14.623 
1.000 -12.976 -13.974 -14.657 
1.500 -12.773 -13.916 -14.655 
2.000 -12.422 -13.743 -14.540 
2.500 -12.053 -13.510 -14.361 
3.000 -11.686 -13.277 -14.174 
3.500 -11.371 -13.034 -13.972 
4.000 -11.048 -12.778 -13.778 
4.500 -10.684 -12.522 -13.552 
5.000 -10.348 -12.281 -13.358 
5.500 -10.006 -12.043 -13.153 
6.000 -9.747 -11.814 -12.967 
6.500 -9.473 -11.585 -12.766 
7.000 -9.156 -11.353 -12.587 
7.500 -8.874 -11.157 -12.412 
8.000 -8.607 -10.939 -12.249 
8.500 -8.283 -10.738 -12.080 
9.000 -8.101 -10.533 -11.899 
9.500 -7.817 -10.337 -11.745 
10.000 -7.562 -10.129 -11.571 
10.500 -7.304 -9.947 -11.416 
11.000 -7.139 -9.774 -11.286 
11.500 -6.734 -9.589 -11.107 
12.000 -6.497 -9.405 -10.967 
12.500 -6.407 -9.239 -10.812 
13.000 -6.065 -9.061 -10.663 
13.500 -5.874 -8.891 -10.549 
14.000 -5.895 -8.711 -10.396 
14.500 -5.413 -8.486 -10.213 
15.000 -5.139 -8.250 -9.995 
