# t[days] ztfg ztfr ztfi 
0.500 -12.396 -13.180 -13.782 
1.000 -12.810 -13.556 -14.032 
1.500 -12.930 -13.627 -14.047 
2.000 -12.840 -13.555 -13.934 
2.500 -12.678 -13.413 -13.792 
3.000 -12.484 -13.238 -13.607 
3.500 -12.286 -13.060 -13.436 
4.000 -12.074 -12.882 -13.267 
4.500 -11.866 -12.706 -13.100 
5.000 -11.673 -12.545 -12.951 
5.500 -11.491 -12.390 -12.816 
6.000 -11.313 -12.244 -12.672 
6.500 -11.143 -12.117 -12.554 
7.000 -10.983 -11.974 -12.437 
7.500 -10.832 -11.846 -12.324 
8.000 -10.669 -11.729 -12.216 
8.500 -10.526 -11.609 -12.120 
9.000 -10.382 -11.506 -12.026 
9.500 -10.245 -11.396 -11.940 
10.000 -10.106 -11.297 -11.851 
10.500 -9.986 -11.191 -11.768 
11.000 -9.855 -11.100 -11.688 
11.500 -9.727 -11.000 -11.606 
12.000 -9.612 -10.917 -11.531 
12.500 -9.486 -10.820 -11.457 
13.000 -9.371 -10.731 -11.381 
13.500 -9.246 -10.643 -11.303 
14.000 -9.134 -10.549 -11.239 
14.500 -8.993 -10.446 -11.147 
15.000 -8.841 -10.303 -11.018 
