# t[days] ztfg ztfr ztfi 
0.500 -14.692 -14.985 -14.817 
1.000 -14.333 -14.951 -14.986 
1.500 -13.994 -14.702 -14.829 
2.000 -13.645 -14.416 -14.600 
2.500 -13.331 -14.152 -14.370 
3.000 -13.046 -13.900 -14.172 
3.500 -12.800 -13.684 -13.976 
4.000 -12.558 -13.465 -13.793 
4.500 -12.340 -13.282 -13.627 
5.000 -12.150 -13.115 -13.492 
5.500 -11.970 -12.959 -13.354 
6.000 -11.801 -12.814 -13.231 
6.500 -11.632 -12.672 -13.116 
7.000 -11.476 -12.536 -13.003 
7.500 -11.317 -12.410 -12.896 
8.000 -11.173 -12.295 -12.775 
8.500 -11.030 -12.170 -12.670 
9.000 -10.885 -12.050 -12.557 
9.500 -10.747 -11.933 -12.456 
10.000 -10.604 -11.821 -12.354 
10.500 -10.472 -11.711 -12.257 
11.000 -10.328 -11.599 -12.163 
11.500 -10.195 -11.498 -12.074 
12.000 -10.062 -11.398 -11.987 
12.500 -9.937 -11.295 -11.906 
13.000 -9.800 -11.196 -11.822 
13.500 -9.681 -11.101 -11.746 
14.000 -9.543 -11.005 -11.667 
14.500 -9.399 -10.906 -11.586 
15.000 -9.228 -10.741 -11.433 
