# t[days] ztfg ztfr ztfi 
0.500 -13.893 -14.177 -14.333 
1.000 -13.481 -14.026 -14.249 
1.500 -13.061 -13.724 -13.980 
2.000 -12.667 -13.413 -13.676 
2.500 -12.305 -13.113 -13.390 
3.000 -11.977 -12.842 -13.150 
3.500 -11.674 -12.579 -12.931 
4.000 -11.395 -12.365 -12.741 
4.500 -11.151 -12.168 -12.583 
5.000 -10.912 -12.000 -12.451 
5.500 -10.687 -11.837 -12.332 
6.000 -10.492 -11.692 -12.223 
6.500 -10.299 -11.550 -12.115 
7.000 -10.103 -11.420 -12.009 
7.500 -9.925 -11.282 -11.889 
8.000 -9.744 -11.145 -11.765 
8.500 -9.565 -10.994 -11.634 
9.000 -9.392 -10.846 -11.504 
9.500 -9.222 -10.695 -11.378 
10.000 -9.055 -10.570 -11.256 
10.500 -8.896 -10.438 -11.147 
11.000 -8.742 -10.322 -11.041 
11.500 -8.585 -10.197 -10.942 
12.000 -8.440 -10.084 -10.839 
12.500 -8.295 -9.967 -10.724 
13.000 -8.145 -9.844 -10.631 
13.500 -7.989 -9.721 -10.523 
14.000 -7.842 -9.599 -10.422 
14.500 -7.707 -9.485 -10.316 
15.000 -7.499 -9.279 -10.124 
