# t[days] ztfg ztfr ztfi 
0.500 -15.300 -15.674 -15.530 
1.000 -14.525 -15.451 -15.661 
1.500 -14.021 -15.105 -15.502 
2.000 -13.575 -14.759 -15.265 
2.500 -13.161 -14.429 -15.024 
3.000 -12.800 -14.127 -14.770 
3.500 -12.479 -13.841 -14.531 
4.000 -12.172 -13.564 -14.307 
4.500 -11.867 -13.304 -14.090 
5.000 -11.594 -13.062 -13.873 
5.500 -11.328 -12.822 -13.668 
6.000 -11.047 -12.605 -13.474 
6.500 -10.783 -12.371 -13.282 
7.000 -10.522 -12.178 -13.106 
7.500 -10.267 -11.956 -12.925 
8.000 -10.018 -11.757 -12.746 
8.500 -9.757 -11.553 -12.583 
9.000 -9.500 -11.353 -12.407 
9.500 -9.259 -11.161 -12.242 
10.000 -9.015 -10.960 -12.072 
10.500 -8.741 -10.762 -11.918 
11.000 -8.543 -10.576 -11.763 
11.500 -8.301 -10.402 -11.605 
12.000 -8.073 -10.233 -11.457 
12.500 -7.817 -10.047 -11.323 
13.000 -7.616 -9.885 -11.176 
13.500 -7.351 -9.689 -11.033 
14.000 -7.150 -9.536 -10.892 
14.500 -6.954 -9.358 -10.755 
15.000 -6.726 -9.138 -10.517 
