# t[days] ztfg ztfr ztfi 
0.500 -12.954 -13.709 -14.295 
1.000 -13.062 -13.869 -14.433 
1.500 -13.041 -13.917 -14.481 
2.000 -12.879 -13.824 -14.387 
2.500 -12.664 -13.682 -14.257 
3.000 -12.431 -13.514 -14.093 
3.500 -12.203 -13.321 -13.931 
4.000 -11.951 -13.132 -13.757 
4.500 -11.716 -12.954 -13.593 
5.000 -11.480 -12.778 -13.449 
5.500 -11.240 -12.597 -13.277 
6.000 -11.042 -12.433 -13.138 
6.500 -10.835 -12.262 -13.001 
7.000 -10.617 -12.107 -12.866 
7.500 -10.436 -11.929 -12.722 
8.000 -10.242 -11.795 -12.599 
8.500 -10.047 -11.645 -12.481 
9.000 -9.861 -11.492 -12.355 
9.500 -9.706 -11.363 -12.238 
10.000 -9.535 -11.229 -12.121 
10.500 -9.342 -11.096 -12.019 
11.000 -9.189 -10.970 -11.911 
11.500 -9.024 -10.842 -11.798 
12.000 -8.860 -10.716 -11.695 
12.500 -8.702 -10.602 -11.600 
13.000 -8.565 -10.490 -11.501 
13.500 -8.411 -10.374 -11.396 
14.000 -8.212 -10.234 -11.292 
14.500 -8.067 -10.100 -11.176 
15.000 -7.869 -9.930 -11.041 
