# t[days] ztfg ztfr ztfi 
0.500 -15.188 -15.704 -15.526 
1.000 -14.321 -15.207 -15.321 
1.500 -13.776 -14.731 -14.954 
2.000 -13.333 -14.319 -14.604 
2.500 -12.965 -13.979 -14.321 
3.000 -12.645 -13.683 -14.067 
3.500 -12.352 -13.422 -13.826 
4.000 -12.074 -13.178 -13.605 
4.500 -11.803 -12.954 -13.402 
5.000 -11.534 -12.731 -13.200 
5.500 -11.268 -12.527 -13.024 
6.000 -11.003 -12.324 -12.837 
6.500 -10.742 -12.126 -12.679 
7.000 -10.471 -11.928 -12.521 
7.500 -10.230 -11.730 -12.364 
8.000 -9.967 -11.537 -12.211 
8.500 -9.706 -11.355 -12.061 
9.000 -9.466 -11.150 -11.911 
9.500 -9.204 -10.961 -11.759 
10.000 -8.968 -10.778 -11.606 
10.500 -8.701 -10.582 -11.461 
11.000 -8.473 -10.393 -11.308 
11.500 -8.193 -10.207 -11.156 
12.000 -7.978 -10.051 -11.001 
12.500 -7.726 -9.853 -10.859 
13.000 -7.500 -9.673 -10.718 
13.500 -7.268 -9.486 -10.576 
14.000 -7.054 -9.326 -10.423 
14.500 -6.822 -9.157 -10.280 
15.000 -6.576 -8.951 -10.101 
