# t[days] ztfg ztfr ztfi 
0.500 -13.585 -13.791 -13.690 
1.000 -13.336 -13.668 -13.656 
1.500 -12.994 -13.352 -13.339 
2.000 -12.633 -13.011 -13.024 
2.500 -12.332 -12.720 -12.747 
3.000 -12.072 -12.477 -12.503 
3.500 -11.856 -12.270 -12.317 
4.000 -11.670 -12.099 -12.160 
4.500 -11.501 -11.956 -12.025 
5.000 -11.358 -11.827 -11.907 
5.500 -11.221 -11.705 -11.794 
6.000 -11.093 -11.593 -11.705 
6.500 -10.963 -11.500 -11.623 
7.000 -10.853 -11.402 -11.525 
7.500 -10.738 -11.309 -11.439 
8.000 -10.624 -11.211 -11.361 
8.500 -10.523 -11.128 -11.282 
9.000 -10.420 -11.044 -11.200 
9.500 -10.320 -10.966 -11.127 
10.000 -10.221 -10.892 -11.058 
10.500 -10.126 -10.818 -10.987 
11.000 -10.039 -10.747 -10.933 
11.500 -9.949 -10.684 -10.882 
12.000 -9.864 -10.629 -10.833 
12.500 -9.778 -10.568 -10.791 
13.000 -9.692 -10.507 -10.744 
13.500 -9.607 -10.455 -10.702 
14.000 -9.525 -10.389 -10.650 
14.500 -9.433 -10.331 -10.595 
15.000 -9.318 -10.227 -10.494 
