# t[days] ztfg ztfr ztfi 
0.500 -15.217 -15.471 -15.092 
1.000 -14.937 -15.579 -15.510 
1.500 -14.618 -15.373 -15.412 
2.000 -14.290 -15.080 -15.213 
2.500 -13.983 -14.818 -14.987 
3.000 -13.696 -14.558 -14.781 
3.500 -13.455 -14.339 -14.602 
4.000 -13.240 -14.146 -14.438 
4.500 -13.032 -13.962 -14.287 
5.000 -12.851 -13.794 -14.139 
5.500 -12.670 -13.638 -14.004 
6.000 -12.507 -13.494 -13.874 
6.500 -12.351 -13.353 -13.739 
7.000 -12.205 -13.219 -13.625 
7.500 -12.054 -13.090 -13.512 
8.000 -11.914 -12.973 -13.404 
8.500 -11.772 -12.860 -13.307 
9.000 -11.642 -12.745 -13.206 
9.500 -11.503 -12.637 -13.117 
10.000 -11.370 -12.529 -13.024 
10.500 -11.245 -12.428 -12.930 
11.000 -11.108 -12.323 -12.849 
11.500 -10.981 -12.223 -12.765 
12.000 -10.858 -12.129 -12.687 
12.500 -10.727 -12.032 -12.611 
13.000 -10.605 -11.937 -12.532 
13.500 -10.473 -11.834 -12.463 
14.000 -10.355 -11.741 -12.382 
14.500 -10.224 -11.647 -12.314 
15.000 -10.050 -11.481 -12.152 
