# t[days] ztfg ztfr ztfi 
0.500 -14.184 -14.374 -14.369 
1.000 -14.073 -14.665 -14.832 
1.500 -13.913 -14.687 -14.952 
2.000 -13.716 -14.568 -14.913 
2.500 -13.480 -14.430 -14.830 
3.000 -13.246 -14.268 -14.712 
3.500 -13.009 -14.104 -14.585 
4.000 -12.771 -13.919 -14.449 
4.500 -12.564 -13.758 -14.301 
5.000 -12.348 -13.593 -14.170 
5.500 -12.137 -13.420 -14.032 
6.000 -11.940 -13.266 -13.892 
6.500 -11.746 -13.107 -13.763 
7.000 -11.562 -12.961 -13.637 
7.500 -11.382 -12.817 -13.509 
8.000 -11.229 -12.680 -13.391 
8.500 -11.054 -12.537 -13.280 
9.000 -10.879 -12.402 -13.165 
9.500 -10.735 -12.275 -13.057 
10.000 -10.572 -12.152 -12.957 
10.500 -10.412 -12.040 -12.876 
11.000 -10.280 -11.926 -12.776 
11.500 -10.131 -11.811 -12.688 
12.000 -9.988 -11.700 -12.601 
12.500 -9.859 -11.583 -12.507 
13.000 -9.712 -11.467 -12.406 
13.500 -9.569 -11.362 -12.319 
14.000 -9.446 -11.235 -12.217 
14.500 -9.268 -11.123 -12.107 
15.000 -9.085 -10.918 -11.938 
