# t[days] ztfg ztfr ztfi 
0.500 -13.373 -13.639 -13.594 
1.000 -13.105 -13.441 -13.489 
1.500 -12.775 -13.112 -13.148 
2.000 -12.423 -12.767 -12.828 
2.500 -12.129 -12.478 -12.532 
3.000 -11.891 -12.241 -12.292 
3.500 -11.685 -12.041 -12.098 
4.000 -11.504 -11.877 -11.946 
4.500 -11.349 -11.741 -11.806 
5.000 -11.212 -11.617 -11.695 
5.500 -11.082 -11.508 -11.579 
6.000 -10.964 -11.401 -11.496 
6.500 -10.839 -11.317 -11.414 
7.000 -10.735 -11.225 -11.322 
7.500 -10.627 -11.140 -11.242 
8.000 -10.518 -11.050 -11.171 
8.500 -10.422 -10.973 -11.098 
9.000 -10.326 -10.897 -11.023 
9.500 -10.229 -10.825 -10.955 
10.000 -10.133 -10.755 -10.895 
10.500 -10.041 -10.683 -10.828 
11.000 -9.955 -10.615 -10.773 
11.500 -9.868 -10.555 -10.721 
12.000 -9.784 -10.500 -10.674 
12.500 -9.700 -10.440 -10.628 
13.000 -9.614 -10.382 -10.582 
13.500 -9.533 -10.331 -10.539 
14.000 -9.449 -10.266 -10.484 
14.500 -9.358 -10.207 -10.432 
15.000 -9.254 -10.115 -10.335 
