# t[days] ztfg ztfr ztfi 
0.500 -13.963 -14.956 -15.562 
1.000 -12.170 -13.744 -14.734 
1.500 -11.209 -13.054 -14.166 
2.000 -10.391 -12.372 -13.641 
2.500 -9.614 -11.742 -13.108 
3.000 -8.800 -11.135 -12.620 
3.500 -8.086 -10.571 -12.177 
4.000 -7.309 -10.077 -11.696 
4.500 -6.679 -9.591 -11.282 
5.000 -6.034 -9.056 -10.895 
5.500 -5.437 -8.577 -10.488 
6.000 -4.992 -8.108 -10.171 
6.500 -4.182 -7.620 -9.766 
7.000 -4.020 -7.323 -9.411 
7.500 -3.121 -6.905 -9.060 
8.000 -2.927 -6.462 -8.780 
8.500 -2.414 -5.996 -8.498 
9.000 -1.979 -5.687 -8.152 
9.500 -0.083 -5.518 -7.848 
10.000 -1.428 -5.182 -7.557 
10.500 1.296 -4.958 -7.213 
11.000 0.234 -4.124 -6.910 
11.500 -0.509 -4.155 -6.756 
12.000 0.633 -3.611 -6.401 
12.500 nan -3.641 -6.285 
13.000 nan -3.009 -6.081 
13.500 1.092 -2.919 -5.710 
14.000 0.617 -2.315 -5.528 
14.500 9.594 -2.649 -5.226 
15.000 8.824 -1.487 -4.826 
