# t[days] ztfg ztfr ztfi 
0.500 -14.698 -15.702 -15.959 
1.000 -12.946 -14.368 -15.057 
1.500 -12.152 -13.560 -14.352 
2.000 -11.399 -12.887 -13.739 
2.500 -10.641 -12.249 -13.184 
3.000 -9.889 -11.654 -12.666 
3.500 -9.122 -11.053 -12.177 
4.000 -8.371 -10.505 -11.688 
4.500 -7.661 -9.918 -11.230 
5.000 -6.903 -9.395 -10.796 
5.500 -6.372 -8.900 -10.391 
6.000 -5.691 -8.424 -9.978 
6.500 -5.142 -7.944 -9.626 
7.000 -4.568 -7.543 -9.227 
7.500 -4.144 -7.111 -8.875 
8.000 -3.368 -6.653 -8.510 
8.500 -3.163 -6.379 -8.207 
9.000 -2.486 -5.947 -7.907 
9.500 -1.238 -5.576 -7.582 
10.000 -1.116 -5.322 -7.304 
10.500 -1.559 -4.939 -7.043 
11.000 -0.846 -4.338 -6.737 
11.500 -0.468 -4.164 -6.456 
12.000 -0.229 -3.894 -6.223 
12.500 0.996 -3.462 -5.939 
13.000 0.111 -3.124 -5.577 
13.500 0.704 -3.204 -5.464 
14.000 6.046 -2.842 -5.268 
14.500 nan -2.447 -5.016 
15.000 2.699 -2.146 -4.645 
