# t[days] ztfg ztfr ztfi 
0.500 -13.588 -14.663 -15.374 
1.000 -11.900 -13.517 -14.544 
1.500 -10.996 -12.944 -14.088 
2.000 -10.138 -12.365 -13.622 
2.500 -9.251 -11.764 -13.134 
3.000 -8.611 -11.187 -12.699 
3.500 -7.792 -10.662 -12.260 
4.000 -7.051 -10.168 -11.816 
4.500 -6.419 -9.655 -11.390 
5.000 -6.084 -9.137 -11.014 
5.500 -5.098 -8.736 -10.654 
6.000 -4.527 -8.271 -10.268 
6.500 -4.781 -7.864 -9.967 
7.000 -3.914 -7.508 -9.609 
7.500 -3.280 -7.028 -9.249 
8.000 -3.098 -6.648 -9.016 
8.500 -2.844 -6.291 -8.647 
9.000 -1.427 -5.992 -8.379 
9.500 -1.218 -5.489 -8.060 
10.000 -0.520 -5.430 -7.890 
10.500 -0.590 -4.974 -7.448 
11.000 -0.861 -4.505 -7.261 
11.500 -0.543 -3.953 -6.941 
12.000 4.600 -4.192 -6.714 
12.500 -0.695 -3.736 -6.362 
13.000 3.412 -2.993 -6.025 
13.500 5.223 -2.858 -5.957 
14.000 nan -2.829 -5.579 
14.500 nan -2.222 -5.477 
15.000 7.490 -1.987 -5.031 
