# t[days] ztfg ztfr ztfi 
0.500 -13.087 -13.994 -14.582 
1.000 -12.406 -13.461 -14.055 
1.500 -11.832 -12.985 -13.584 
2.000 -11.315 -12.543 -13.178 
2.500 -10.843 -12.153 -12.818 
3.000 -10.406 -11.800 -12.506 
3.500 -9.987 -11.474 -12.225 
4.000 -9.595 -11.171 -11.951 
4.500 -9.227 -10.873 -11.712 
5.000 -8.850 -10.592 -11.474 
5.500 -8.512 -10.329 -11.252 
6.000 -8.177 -10.083 -11.051 
6.500 -7.848 -9.839 -10.836 
7.000 -7.548 -9.589 -10.642 
7.500 -7.228 -9.355 -10.447 
8.000 -6.947 -9.122 -10.275 
8.500 -6.658 -8.910 -10.084 
9.000 -6.393 -8.698 -9.914 
9.500 -6.104 -8.466 -9.736 
10.000 -5.830 -8.290 -9.559 
10.500 -5.591 -8.072 -9.409 
11.000 -5.253 -7.882 -9.248 
11.500 -5.085 -7.692 -9.101 
12.000 -4.759 -7.494 -8.946 
12.500 -4.562 -7.310 -8.801 
13.000 -4.393 -7.134 -8.640 
13.500 -4.157 -6.955 -8.509 
14.000 -3.852 -6.766 -8.332 
14.500 -3.620 -6.573 -8.184 
15.000 -3.442 -6.403 -7.991 
