# t[days] ztfg ztfr ztfi 
0.500 -13.563 -14.649 -15.410 
1.000 -11.827 -13.510 -14.527 
1.500 -10.844 -12.832 -14.019 
2.000 -9.913 -12.160 -13.476 
2.500 -9.072 -11.543 -12.949 
3.000 -8.272 -10.908 -12.474 
3.500 -7.533 -10.376 -12.003 
4.000 -6.690 -9.837 -11.570 
4.500 -5.996 -9.375 -11.144 
5.000 -5.580 -8.810 -10.736 
5.500 -4.861 -8.327 -10.384 
6.000 -4.098 -7.965 -10.000 
6.500 -3.863 -7.561 -9.620 
7.000 -3.402 -7.141 -9.329 
7.500 -2.440 -6.642 -8.951 
8.000 -2.327 -6.525 -8.641 
8.500 -0.931 -5.881 -8.350 
9.000 -1.184 -5.553 -8.096 
9.500 -1.594 -5.349 -7.791 
10.000 0.534 -4.866 -7.398 
10.500 -0.435 -4.496 -7.179 
11.000 0.719 -3.859 -6.908 
11.500 -0.200 -3.916 -6.621 
12.000 4.998 -3.234 -6.315 
12.500 5.342 -3.701 -6.191 
13.000 nan -3.154 -5.904 
13.500 nan -2.741 -5.646 
14.000 nan -2.469 -5.230 
14.500 3.980 -2.216 -5.229 
15.000 6.176 -1.768 -4.607 
